acquisition Monte Carlo: 60 trials per C/N0, random PRN, Doppler U(-4.5, 4.5) kHz, code phase U(0, 1023);
search 21 bins x 500 Hz, 3274 code offsets (0.3125 chip); threshold per N = the largest peak/mean
over 150 noise-only searches (false-alarm rate per search below about 1/150);
detection = peak within 2 samples and one bin of the truth AND above threshold.
thresholds: N=1: 16.74, N=2: 10.31, N=5: 5.44, N=10: 3.51
 C/N0 dB-Hz    Pd N=1    Pd N=2    Pd N=5   Pd N=10
         30      0.00      0.00      0.00      0.00
         32      0.00      0.00      0.00      0.00
         34      0.00      0.00      0.00      0.00
         36      0.00      0.00      0.00      0.03
         38      0.00      0.00      0.02      0.18
         40      0.00      0.00      0.08      0.52
         42      0.00      0.05      0.60      0.98
         44      0.02      0.12      0.97      1.00
         46      0.15      0.77      1.00      1.00
