5t pd=0.30 pg=0.30 pu=0.15; WL idle 0.0 V, active 1.2 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27     485.8        213.2         249.6             nan          14.91   1.200/0.000
mos_tt   85     466.7        193.5         268.8             nan         132.33   1.200/0.000
mos_ff   27     458.0        193.9         274.3             nan         130.70   1.200/0.000
mos_ff   85     438.0        171.4         287.0             nan        1181.43   1.200/0.000
mos_ss   27     511.8        230.4         232.4             nan           2.27   1.200/0.000
mos_ss   85     493.6        213.6         251.1             nan          11.52   1.200/0.000
mos_sf   27     487.0        240.5         213.3             nan          17.71   1.200/0.000
mos_sf   85     470.1        222.4         229.8             nan         195.40   1.200/0.000
mos_fs   27     473.5        184.4         291.5             nan          29.06   1.200/0.000
mos_fs   85     453.5        163.2         307.0             nan         230.48   1.200/0.000
