6T PD 0.3/0.13 PG 0.15/0.13 PU 0.15/0.13; WL 1.2 V, read bit lines at 1.2 V
corner   T   hold SNM (mV)   read SNM (mV)   write margin (mV)   leakage (pA/bit)
mos_tt   27      485.8           227.7           400.6               18.04
mos_tt   85      466.7           211.7           419.5              191.20
mos_ff   27      458.0           207.4           427.8              171.41
mos_ff   85      438.0           188.6           446.7             1681.79
mos_ss   27      511.8           248.9           370.2                2.33
mos_ss   85      493.6           235.3           388.6               14.71
mos_sf   27      487.0           255.5           336.6               18.23
mos_sf   85      470.1           240.8           353.1              209.71
mos_fs   27      473.5           201.2           461.9               40.53
mos_fs   85      453.5           183.6           481.4              403.60
