5t pd=0.30 pg=0.30 pu=0.15 vcell=0.6; WL idle 0.0 V, active 1.2 V; cell supply 0.6 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27     255.3       -257.0         231.9           348.8           5.02   0.600/0.000
mos_tt   85     248.2       -254.2         261.7           322.1          80.71   0.600/0.000
mos_ff   27     251.7       -237.7         284.3           331.8          66.35   0.600/0.000
mos_ff   85     240.5       -237.1         291.4           326.1         755.51   0.600/0.000
mos_ss   27     254.9       -268.2         146.5           419.4           0.23   0.600/0.000
mos_ss   85     249.6       -265.6         202.6           362.9           5.72   0.600/0.000
mos_sf   27     242.6       -211.6         274.1           386.7           7.86   0.600/0.000
mos_sf   85     236.5       -209.5         302.6           363.7         122.30   0.600/0.000
mos_fs   27     229.1       -299.1         190.0           315.9          11.00   0.600/0.000
mos_fs   85     227.0       -296.0         220.9           285.2         142.50   0.600/0.000
