6t blcell=1 mode=vsweep pd=0.30 pg=0.30 pu=0.15 vlist=1.2,0.9,0.7,0.6,0.5,0.4,0.3,0.2: hold SNM and leakage against the cell supply
vcell 0.40  mos_ff   27  hold SNM   158.8 mV  leakage     79.27 pA/bit  (Q 0.400, QB 0.000)
vcell 0.40  mos_ff   85  hold SNM   151.7 mV  leakage    909.45 pA/bit  (Q 0.400, QB 0.000)
vcell 0.40  mos_ss   27  hold SNM   159.0 mV  leakage      0.27 pA/bit  (Q 0.400, QB 0.000)
vcell 0.40  mos_ss   85  hold SNM   154.0 mV  leakage      7.69 pA/bit  (Q 0.400, QB 0.000)
vcell 0.40  mos_sf   27  hold SNM   145.3 mV  leakage      7.05 pA/bit  (Q 0.400, QB 0.000)
vcell 0.40  mos_sf   85  hold SNM   140.4 mV  leakage    116.79 pA/bit  (Q 0.400, QB 0.000)
vcell 0.40  mos_fs   27  hold SNM   130.2 mV  leakage     17.27 pA/bit  (Q 0.400, QB 0.000)
vcell 0.40  mos_fs   85  hold SNM   129.7 mV  leakage    226.63 pA/bit  (Q 0.400, QB 0.000)
vcell 0.30  mos_tt   27  hold SNM   110.9 mV  leakage      6.00 pA/bit  (Q 0.300, QB 0.000)
vcell 0.30  mos_tt   85  hold SNM   105.8 mV  leakage     98.55 pA/bit  (Q 0.300, QB 0.000)
vcell 0.30  mos_ff   27  hold SNM   110.9 mV  leakage     70.58 pA/bit  (Q 0.300, QB 0.000)
vcell 0.30  mos_ff   85  hold SNM   104.4 mV  leakage    819.50 pA/bit  (Q 0.300, QB 0.000)
vcell 0.30  mos_ss   27  hold SNM   110.9 mV  leakage      0.23 pA/bit  (Q 0.300, QB 0.000)
vcell 0.30  mos_ss   85  hold SNM   106.2 mV  leakage      6.79 pA/bit  (Q 0.300, QB 0.000)
vcell 0.30  mos_sf   27  hold SNM    96.8 mV  leakage      6.37 pA/bit  (Q 0.300, QB 0.000)
vcell 0.30  mos_sf   85  hold SNM    91.5 mV  leakage    107.14 pA/bit  (Q 0.300, QB 0.000)
vcell 0.30  mos_fs   27  hold SNM    80.7 mV  leakage     15.09 pA/bit  (Q 0.300, QB 0.000)
vcell 0.30  mos_fs   85  hold SNM    80.9 mV  leakage    200.02 pA/bit  (Q 0.299, QB 0.000)
vcell 0.20  mos_tt   27  hold SNM    62.2 mV  leakage      5.18 pA/bit  (Q 0.200, QB 0.000)
vcell 0.20  mos_tt   85  hold SNM    57.3 mV  leakage     86.29 pA/bit  (Q 0.199, QB 0.001)
vcell 0.20  mos_ff   27  hold SNM    63.0 mV  leakage     62.03 pA/bit  (Q 0.200, QB 0.001)
vcell 0.20  mos_ff   85  hold SNM    56.7 mV  leakage    728.24 pA/bit  (Q 0.200, QB 0.001)
vcell 0.20  mos_ss   27  hold SNM    62.9 mV  leakage      0.19 pA/bit  (Q 0.200, QB 0.000)
vcell 0.20  mos_ss   85  hold SNM    58.1 mV  leakage      5.89 pA/bit  (Q 0.199, QB 0.000)
vcell 0.20  mos_sf   27  hold SNM    47.8 mV  leakage      5.73 pA/bit  (Q 0.200, QB 0.002)
vcell 0.20  mos_sf   85  hold SNM    42.7 mV  leakage     97.26 pA/bit  (Q 0.200, QB 0.004)
vcell 0.20  mos_fs   27  hold SNM    30.7 mV  leakage     12.89 pA/bit  (Q 0.195, QB 0.000)
vcell 0.20  mos_fs   85  hold SNM    30.8 mV  leakage    172.52 pA/bit  (Q 0.194, QB 0.001)
