6T PD 0.15/0.13 PG 0.15/0.13 PU 0.15/0.13; WL 1.2 V, read bit lines at 1.2 V
corner   T   hold SNM (mV)   read SNM (mV)   write margin (mV)   leakage (pA/bit)
mos_tt   27      486.2           210.3           414.3               11.55
mos_tt   85      466.7           191.8           434.7              164.03
mos_ff   27      451.2           180.3           441.6              150.03
mos_ff   85      430.8           159.0           465.1             1664.73
mos_ss   27      518.6           237.0           387.4                1.11
mos_ss   85      500.4           221.2           406.6               10.92
mos_sf   27      488.3           241.8           351.0               15.49
mos_sf   85      471.4           224.8           369.0              199.03
mos_fs   27      470.5           177.5           477.3               27.79
mos_fs   85      450.6           157.1           499.1              364.14
