4tp wlidle=0.9; WL idle 0.9 V, active 0.0 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27     262.7        203.2         946.0             nan        9660.09   1.200/0.000
mos_tt   85     260.6        203.3         936.1             nan       46707.78   1.200/0.000
mos_ff   27     290.6        199.0         936.4             nan      165372.60   1.200/0.000
mos_ff   85     281.9        188.3         938.8             nan      418952.00   1.200/0.001
mos_ss   27     250.3        212.9         946.3             nan         443.54   1.200/0.000
mos_ss   85     248.8        216.4         934.9             nan        3647.05   1.200/0.000
mos_sf   27     347.3        164.0         996.7             nan       42979.75   1.200/0.000
mos_sf   85     340.9        161.4         993.1             nan      152377.70   1.200/0.000
mos_fs   27     182.3        248.6         883.9             nan        2160.03   1.199/0.000
mos_fs   85     183.2        243.9         875.2             nan       13696.51   1.199/0.000
