4tp wlidle=0.8; WL idle 0.8 V, active 0.0 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27     348.1        203.2         945.7             nan      145368.50   1.200/0.000
mos_tt   85     338.5        203.3         935.8             nan      372035.50   1.200/0.001
mos_ff   27     360.5        199.0         936.4             nan     1096180.00   1.200/0.003
mos_ff   85     343.8        188.3         938.8             nan     1682793.00   1.200/0.004
mos_ss   27     337.0        212.9         946.2             nan        8787.55   1.200/0.000
mos_ss   85     332.7        216.4         934.9             nan       43296.41   1.200/0.000
mos_sf   27     420.9        164.0         997.0             nan      455531.60   1.200/0.001
mos_sf   85     405.6        161.4         993.4             nan      860157.10   1.200/0.002
mos_fs   27     273.6        248.6         883.6             nan       38561.62   1.200/0.000
mos_fs   85     268.7        243.9         875.5             nan      138624.20   1.200/0.000
