4tp wlidle=1.0; WL idle 1.0 V, active 0.0 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27     173.8        203.2         945.7             nan         575.32   1.198/0.000
mos_tt   85     175.1        203.3         936.1             nan        4485.56   1.198/0.000
mos_ff   27     207.4        199.0         936.4             nan       12567.21   1.200/0.000
mos_ff   85     205.9        188.3         938.8             nan       58407.38   1.199/0.000
mos_ss   27     164.3        212.9         946.3             nan          24.37   1.194/0.000
mos_ss   85     164.3        216.4         934.9             nan         309.57   1.198/0.000
mos_sf   27     264.3        164.0         996.7             nan        2737.21   1.200/0.000
mos_sf   85     262.4        161.4         993.4             nan       16514.30   1.200/0.000
mos_fs   27      91.0        248.6         883.9             nan         141.80   1.173/0.000
mos_fs   85      94.5        243.9         875.5             nan        1391.65   1.181/0.000
