4tn wlidle=0.6; WL idle 0.6 V, active 1.2 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27      -0.1         -0.1         739.7             nan       11048.89   0.286/0.286
mos_tt   85      -0.1         -0.1         979.5             nan       55685.55   0.287/0.287
mos_ff   27      -0.1         -0.1        1050.4             nan       94602.96   0.294/0.294
mos_ff   85      -0.1         -0.1        1176.5             nan      327877.50   0.295/0.295
mos_ss   27      -0.1         -0.1         650.1             nan         691.14   0.280/0.280
mos_ss   85      -0.1         -0.1         701.3             nan        5670.20   0.281/0.281
mos_sf   27      -0.1         -0.1         693.2             nan        2908.82   0.283/0.283
mos_sf   85      -0.1         -0.1         755.7             nan       18486.81   0.284/0.284
mos_fs   27      -0.1         -0.1         797.0             nan       32970.32   0.290/0.290
mos_fs   85      -0.1         -0.1        1125.8             nan      138438.00   0.291/0.291
