00000 features=921 size=63 p=5 tap=11 reset=true scheme=3 ops=1,3,2,0,1,1,0,0,3,0,1,1,2,1,0,1,3,1,1,2,3,2,0,2,1,3,2,2,0,2,3,3,3,1,1,2,2,2,3,0,0,2,2,3,1,1,1,1,2,3,0,3,1,2,2,1,1,0,1,2,1,0,1,0 ks=255,235,205,48,3,175,188,108,35,133,34,223,166,229,50,140,126,149,2,195,181,0,31,240,53,142,40,112,116,12,241,62,82,131,235,179,30,87,250,196,3,94,141,148,136,77,7,96,166,252,143,144,177,198,76,119,139,138,165,122,3,218,120,140
00001 features=998 size=62 p=5 tap=11 reset=true scheme=1 ops=3,3,2,0,1,1,0,0,3,0,1,1,2,1,0,1,3,1,1,2,3,2,0,2,1,3,2,2,0,2,3,3,3,1,1,2,2,2,3,0,0,2,2,3,1,1,1,1,2,3,0,3,1,2,2,1,1,0,1,2,1,0,1,0 ks=255,235,205,48,3,175,188,108,35,133,34,223,166,229,50,140,126,149,2,195,181,0,31,240,53,142,40,112,116,12,241,62,82,131,235,179,30,87,0,196,3,94,141,148,136,77,7,96,166,252,143,144,177,198,76,119,139,138,165,122,3,218,120,140
00002 features=966 size=62 p=5 tap=11 reset=false scheme=3 ops=1,3,2,0,1,1,0,3,3,0,1,1,2,1,0,1,3,1,1,2,3,2,0,2,1,3,2,2,0,2,3,3,3,1,1,2,2,2,3,0,0,2,2,3,1,1,1,1,2,3,0,3,1,2,2,1,1,0,1,2,1,0,1,0 ks=255,235,205,48,3,175,188,108,35,133,34,223,166,0,50,140,126,149,2,195,181,0,31,240,53,142,40,112,116,12,241,62,82,131,235,179,30,87,250,196,3,94,141,148,136,77,7,96,166,252,143,144,177,198,76,119,139,138,165,122,3,218,120,140
00003 features=923 size=63 p=5 tap=11 reset=true scheme=3 ops=1,3,2,0,1,1,0,0,3,0,1,1,2,1,0,1,3,1,1,2,3,2,0,2,1,3,2,2,0,2,3,3,3,1,1,2,2,2,3,0,0,2,2,3,1,1,1,1,2,3,0,3,1,2,2,1,1,0,1,2,1,0,1,0 ks=255,235,204,48,3,175,188,108,35,133,34,223,166,229,50,140,126,149,2,195,181,2,31,240,53,142,41,112,116,12,241,62,82,131,235,179,30,87,0,196,3,94,141,148,136,77,7,96,166,252,143,144,177,198,76,119,139,138,165,122,3,214,120,140
00004 features=952 size=61 p=1 tap=11 reset=true scheme=3 ops=1,3,2,0,1,1,0,0,3,0,1,1,2,1,0,1,3,1,1,2,3,2,0,2,1,3,2,2,0,2,3,3,3,1,1,2,2,2,3,0,0,2,2,3,1,1,1,1,2,3,0,3,1,2,2,1,1,0,1,2,1,0,1,0 ks=255,235,205,48,3,175,188,108,35,133,34,223,166,229,50,140,126,149,2,195,181,0,0,240,53,142,40,112,116,12,241,62,82,131,235,179,30,87,250,196,3,94,141,148,136,77,7,96,166,252,143,0,177,198,76,119,139,138,165,122,3,218,120,140
00005 features=601 size=2 p=2 tap=11 reset=true scheme=3 ops=1,3,2,0,1,1,0,0,3,0,1,1,0,1,0,1,3,1,1,2,3,2,0,0,1,3,2,2,0,2,3,3,3,1,1,2,2,2,3,0,0,2,2,3,1,1,1,1,2,3,0,3,1,2,2,1,1,0,1,2,1,0,1,0 ks=0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00006 features=979 size=63 p=2 tap=11 reset=false scheme=3 ops=1,3,2,0,1,1,0,3,3,0,1,1,2,1,0,1,3,1,1,2,3,2,0,2,1,3,2,2,0,2,3,3,3,1,1,2,2,2,3,0,0,2,2,3,1,1,1,1,2,3,0,3,1,2,2,1,1,0,1,2,1,0,1,0 ks=255,235,205,48,3,175,188,108,35,133,34,223,166,229,50,140,126,149,2,195,181,0,31,240,53,142,40,112,116,12,241,62,82,131,235,179,29,87,250,194,3,94,141,148,136,77,7,96,166,252,143,144,177,198,76,119,139,138,165,122,3,218,120,140
00007 features=928 size=63 p=5 tap=11 reset=true scheme=3 ops=1,3,2,2,1,1,0,0,3,0,1,1,2,1,0,1,3,1,1,2,3,2,0,2,1,3,2,2,0,2,3,3,3,1,1,2,2,2,3,0,0,2,2,3,1,1,1,1,2,3,0,3,1,2,2,1,1,0,1,2,1,0,1,0 ks=255,235,205,48,3,175,188,108,35,133,34,223,166,229,50,140,126,149,2,195,181,0,31,240,53,142,40,112,116,12,241,62,82,131,235,179,30,87,250,196,3,94,141,148,136,77,7,96,166,252,143,144,177,198,76,119,139,138,165,122,3,218,120,140
00008 features=590 size=1 p=5 tap=11 reset=true scheme=3 ops=1,3,2,0,1,1,0,0,3,0,1,1,2,1,0,1,3,1,1,2,3,2,0,2,1,3,2,2,0,2,3,3,3,1,1,2,2,2,3,0,0,2,2,3,1,1,1,1,2,3,0,3,1,2,2,1,1,0,1,2,1,0,1,0 ks=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00009 features=930 size=63 p=5 tap=11 reset=true scheme=3 ops=1,3,2,0,1,1,1,0,3,0,1,3,2,1,0,1,3,1,1,2,3,2,0,2,1,3,2,2,0,2,3,3,3,1,1,2,2,2,3,0,0,2,2,3,1,1,1,1,2,3,0,3,1,2,2,1,1,0,1,2,1,0,1,0 ks=255,235,205,48,3,175,188,108,35,133,15,223,166,229,50,140,126,149,2,195,181,0,31,240,53,142,40,112,116,12,241,62,82,131,235,179,30,87,250,196,3,94,141,148,136,77,7,96,166,252,143,144,177,198,76,119,139,138,165,122,3,218,120,140
