321.0 p=5 tap=46 reset=true scheme=5 ops=2,2,3,2,1,2,2,2,3,0,2,0,0,2,3,1,2,1,2,3,2,1,0,0,0,3,3,3,2,0,1,2,1,3,2,2,2,2,0,2,3,0,0,3,1,1,0,0,1,3,1,3,2,2,0,3,1,1,3,3,3,1,2,0 ks=33,114,0,15,0,0,0,75,51,0,0,0,0,0,115,0,0,0,0,0,117,0,0,146,80,123,0,0,0,0,0,81,0,0,197,225,0,0,0,191,0,0,92,0,0,251,0,0,0,0,129,0,47,51,94,0,174,33,222,0,175,0,0,0
321.1 p=5 tap=11 reset=true scheme=5 ops=2,2,3,2,1,2,2,2,3,0,2,0,0,2,3,1,2,0,2,3,2,1,0,0,0,3,3,3,2,0,1,2,1,3,2,2,2,2,0,2,3,0,0,3,1,1,0,0,1,3,1,3,2,2,0,3,1,1,3,3,3,1,2,0 ks=33,114,0,15,0,0,0,75,51,0,0,0,0,0,115,0,0,0,0,0,117,0,0,146,80,123,0,0,0,0,0,81,0,0,197,225,0,0,0,191,0,0,92,0,0,251,0,0,0,0,129,0,47,51,94,0,174,33,222,0,175,0,0,0
321.2 p=5 tap=46 reset=false scheme=5 ops=2,2,3,2,1,2,2,2,3,0,2,0,0,2,3,1,2,1,2,3,2,1,0,0,0,3,3,3,2,0,1,2,1,3,2,2,2,1,0,2,3,0,0,3,1,1,0,0,1,3,1,3,2,2,0,3,1,1,3,3,3,1,2,0 ks=33,114,0,15,0,0,0,75,51,0,0,0,0,0,115,0,0,0,0,0,117,0,0,146,80,123,0,0,0,0,0,81,0,0,197,225,0,0,0,191,0,0,92,0,0,251,0,0,0,0,129,0,47,51,94,0,174,33,222,0,175,0,0,0
321.3 p=5 tap=46 reset=true scheme=5 ops=2,2,3,2,1,2,2,2,3,0,2,0,0,2,3,1,2,1,2,3,2,1,0,0,0,3,3,3,2,0,1,2,1,3,2,2,2,2,0,2,3,0,0,3,1,1,0,0,1,3,1,3,2,2,0,3,1,1,3,3,3,1,2,0 ks=33,114,0,15,0,0,0,75,51,0,0,0,0,0,115,0,0,0,0,0,117,0,0,146,80,123,0,0,0,0,0,81,0,0,197,225,0,0,0,191,0,0,92,0,0,251,0,0,0,0,129,0,47,51,94,0,174,33,222,0,175,0,0,0
321.4 p=5 tap=46 reset=true scheme=5 ops=2,2,3,2,1,2,2,2,3,0,2,0,0,2,3,1,2,1,2,3,2,1,0,0,0,3,3,3,2,0,1,2,1,3,2,2,2,2,0,2,3,0,0,3,1,1,0,0,1,3,1,3,2,2,0,3,1,1,3,3,3,1,2,0 ks=33,114,0,15,0,0,0,75,51,0,0,0,0,0,115,0,0,0,0,0,157,0,0,146,80,123,0,0,0,0,0,81,0,0,197,225,0,0,0,191,0,0,92,0,0,251,0,0,0,0,129,0,47,51,94,0,174,33,222,0,175,0,0,0
321.5 p=5 tap=46 reset=false scheme=5 ops=2,2,3,2,1,2,2,2,3,0,2,0,0,2,3,1,2,1,2,3,2,1,0,0,0,3,3,3,2,0,1,2,1,3,3,2,2,2,0,2,3,0,0,3,1,1,0,0,1,3,1,3,2,2,0,3,1,1,3,3,3,1,2,0 ks=33,114,0,15,0,0,0,75,51,0,0,0,0,0,115,0,0,0,0,0,117,0,0,146,80,123,0,0,0,0,0,81,0,0,197,225,0,0,0,191,0,0,92,0,0,251,0,0,0,0,129,0,47,51,94,0,174,33,222,0,175,0,0,0
321.6 p=5 tap=46 reset=true scheme=5 ops=2,2,3,2,1,2,2,2,3,0,2,0,0,2,3,1,2,1,2,3,2,1,0,0,0,3,3,3,2,0,1,2,1,3,2,2,2,2,0,0,3,0,0,3,1,0,0,0,1,3,1,3,2,2,0,3,1,1,3,3,3,1,2,0 ks=33,114,0,15,0,0,0,75,51,0,0,0,0,0,115,0,0,0,0,0,117,0,0,146,80,123,0,0,0,0,0,81,0,0,197,225,0,0,0,191,0,0,92,0,0,251,0,0,0,0,129,0,47,51,94,0,174,33,222,0,175,0,0,0
321.7 p=5 tap=46 reset=true scheme=5 ops=2,2,3,2,1,2,2,2,3,0,2,0,0,2,3,1,2,1,2,3,2,1,0,0,0,3,3,3,2,0,1,2,1,3,2,2,2,2,0,2,3,0,0,3,1,1,0,0,1,3,1,3,2,2,0,3,1,1,3,3,3,1,2,0 ks=33,114,0,15,0,0,0,75,51,0,0,0,0,0,115,0,0,0,0,0,117,0,0,146,80,123,0,0,0,0,0,81,0,0,197,225,0,0,0,191,0,0,92,0,0,251,0,0,0,0,129,0,47,51,94,0,174,33,222,0,175,0,0,0
422.0 p=5 tap=5 reset=true scheme=5 ops=2,0,3,2,3,0,1,1,3,0,3,2,0,3,2,2,3,0,0,3,3,0,0,0,3,2,2,0,3,0,2,0,2,3,3,2,0,1,1,3,2,1,0,3,2,2,3,3,0,0,3,2,1,3,3,2,1,3,2,1,1,3,3,3 ks=1,0,185,213,0,0,0,0,96,111,0,0,0,0,47,191,0,0,91,133,0,0,0,0,0,242,0,0,0,181,0,151,0,163,120,24,147,0,107,0,0,0,231,0,37,0,0,0,0,25,106,0,0,0,0,0,0,151,0,6,0,231,0,108
422.1 p=5 tap=5 reset=false scheme=4 ops=2,0,3,2,3,0,1,1,3,0,3,2,0,3,2,2,3,0,0,3,3,0,0,0,3,2,2,0,3,0,2,0,2,3,3,2,0,1,1,3,2,1,0,3,2,2,3,3,0,0,3,2,1,3,3,2,1,3,2,1,1,3,3,3 ks=1,0,185,213,0,0,0,0,96,111,0,0,0,0,47,191,0,0,91,133,0,0,0,0,0,242,0,0,0,181,0,151,0,163,120,24,147,0,107,0,0,0,231,0,37,0,0,0,0,25,106,0,0,0,0,0,0,151,0,6,0,231,0,108
