00000 features=806 size=29 p=5 tap=41 reset=false scheme=2 ops=2,3,3,3,0,3,1,1,0,0,0,0,3,1,3,2,3,3,1,0,0,0,0,3,3,0,2,1,2,3,3,0,0,3,1,0,0,0,2,0,0,1,3,0,3,2,1,2,1,2,1,3,1,1,0,1,0,2,3,0,0,0,3,1 ks=0,0,0,0,89,152,0,0,0,0,77,0,0,86,154,91,208,91,0,171,0,0,0,0,76,0,161,124,82,0,0,0,128,116,204,0,158,87,0,0,0,0,142,0,0,110,0,112,139,0,0,0,175,0,172,198,0,0,191,12,0,0,200,28
00001 features=768 size=29 p=5 tap=41 reset=false scheme=2 ops=2,3,3,3,0,3,1,1,0,0,0,0,3,1,3,2,3,3,1,0,0,0,0,3,3,0,2,1,2,3,3,0,0,3,1,0,0,0,2,0,0,1,3,0,3,2,1,2,1,2,1,3,1,1,0,1,0,2,3,0,0,0,3,1 ks=0,127,0,0,89,0,0,0,0,0,247,0,0,86,154,91,208,91,0,171,0,0,0,0,254,0,161,124,82,0,253,0,128,116,204,0,158,87,0,0,0,0,127,0,0,110,0,112,139,0,0,0,0,0,172,198,0,0,191,12,0,0,200,28
00002 features=817 size=28 p=1 tap=41 reset=false scheme=2 ops=2,3,3,3,0,2,1,1,0,0,0,0,3,1,3,2,3,3,1,0,0,0,0,3,3,0,2,1,0,3,3,0,0,3,1,0,2,0,2,0,0,1,3,0,3,2,0,2,1,2,1,3,1,1,0,1,0,2,3,0,0,0,3,1 ks=0,0,0,0,88,152,0,0,0,0,77,0,0,86,154,91,208,91,0,171,0,0,0,0,0,0,161,124,82,0,0,0,128,116,204,0,158,87,0,0,0,0,142,0,0,110,0,112,139,0,0,0,175,0,172,198,0,0,191,12,0,0,200,28
00003 features=805 size=29 p=1 tap=41 reset=false scheme=2 ops=2,3,3,3,0,3,1,1,0,0,0,0,3,1,3,2,3,3,1,0,0,0,0,3,3,0,2,1,2,3,3,0,0,3,1,0,0,0,2,0,0,1,3,0,3,2,1,2,1,2,1,3,1,1,0,1,0,2,3,0,0,0,3,1 ks=0,0,0,0,89,152,0,0,0,0,77,0,0,86,154,91,208,91,0,171,0,0,0,0,76,0,161,124,82,0,0,0,128,116,204,0,158,87,0,0,0,0,142,0,0,110,0,112,139,0,0,0,175,0,172,198,0,0,191,12,0,0,200,28
00004 features=817 size=31 p=5 tap=41 reset=false scheme=2 ops=2,3,3,3,0,3,1,1,0,0,1,0,3,1,3,2,3,3,1,0,0,0,0,3,3,0,2,1,2,3,3,0,0,3,1,0,0,0,2,0,0,1,3,0,3,2,1,2,1,2,1,3,1,1,0,1,0,2,3,0,0,0,3,1 ks=0,0,0,0,89,152,0,0,0,0,77,0,0,86,154,91,208,91,32,171,0,0,0,0,76,0,161,125,82,0,0,0,128,116,204,0,158,87,0,0,0,0,142,28,0,110,0,112,139,0,0,0,175,0,172,198,0,0,191,12,0,0,200,28
00005 features=874 size=33 p=5 tap=11 reset=false scheme=2 ops=2,2,0,0,0,1,1,1,0,0,0,0,0,1,2,2,0,1,1,0,0,0,0,2,2,0,2,1,2,0,1,0,0,2,1,0,0,0,2,0,0,1,2,0,1,2,1,2,1,2,1,1,1,1,0,1,0,2,1,0,0,0,1,1 ks=0,0,0,0,89,152,2,0,1,0,77,1,0,86,154,91,208,91,0,171,0,0,0,0,76,0,161,124,82,0,0,0,128,116,204,0,158,87,0,0,0,0,142,0,0,110,0,112,139,0,0,0,175,0,172,198,0,0,191,12,0,59,200,28
00006 features=991 size=28 p=5 tap=41 reset=true scheme=2 ops=0,3,3,3,0,3,0,3,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,3,3,0,3,0,3,3,3,0,0,3,3,0,0,0,3,0,0,3,3,0,3,3,0,0,3,0,0,3,3,3,0,0,0,0,3,0,0,0,3,3 ks=0,0,0,0,89,152,0,0,0,0,77,0,0,0,154,91,208,91,0,171,0,0,0,64,76,0,161,124,82,0,0,0,128,116,204,0,0,0,0,0,128,0,142,0,0,110,0,112,139,0,0,0,175,0,172,198,0,0,191,12,0,0,200,28
00007 features=622 size=4 p=5 tap=41 reset=false scheme=3 ops=2,3,3,3,0,0,1,1,0,0,0,0,3,1,3,2,3,3,1,0,0,0,0,3,3,0,2,2,2,3,3,0,0,3,1,0,0,0,2,0,0,1,3,0,3,2,1,2,1,2,1,3,1,1,0,1,0,2,3,0,0,0,3,1 ks=0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,208,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0
00008 features=632 size=0 p=5 tap=41 reset=false scheme=2 ops=2,3,3,3,0,3,1,1,0,0,0,0,3,1,3,2,3,3,1,2,0,0,0,3,3,0,2,1,2,3,3,0,0,3,1,0,0,0,2,0,0,1,3,0,3,2,1,2,1,2,1,3,1,1,0,1,0,2,3,0,0,0,3,1 ks=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00009 features=979 size=29 p=5 tap=41 reset=false scheme=2 ops=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ks=0,0,0,0,89,152,0,0,0,0,77,0,0,86,154,91,208,91,0,171,0,0,0,0,76,0,161,124,82,0,0,0,128,116,204,0,158,87,0,0,0,0,142,0,0,110,0,112,139,0,0,0,175,0,172,198,0,0,191,12,0,0,200,28
