# 2026-09-25T11:44:16+08:00 run mc-track-ss27-s101: mc.py  --env CORNER=mos_ss --env TEMP=27 --env NS=100 --env N0=101 --env JOBS=1 --env VLO=0.3 --env VBAR=0 --env SCAN=0.20:0.65:0.025   (commit 530b0ea)
mc: mos_ss_mismatch 27C VLO=0.3 VBAR=0.0 sense 10.0 ns, seeds 101..200, scan [0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65], TSTOP 50m
seed   118 vw1 0.6111 vw0 0.1566 L1 0.423 H0 0.3886 t1 1.6970e-02 t0 inf life 1.6970e-02 t0park inf lifepark 1.6970e-02  rbl 1.180 1.168 1.147 1.114 1.067 0.998 0.903 0.779 0.633 0.488 0.377 0.286 0.206 0.131 0.062 0.015 0.002 0.000 0.000
seed   119 vw1 0.6522 vw0 0.1745 L1 0.3904 H0 0.3549 t1 2.4110e-02 t0 inf life 2.4110e-02 t0park inf lifepark 2.4110e-02  rbl 1.159 1.134 1.096 1.042 0.966 0.862 0.730 0.578 0.451 0.352 0.269 0.193 0.121 0.056 0.013 0.001 0.000 0.000 0.000
seed   120 vw1 0.6631 vw0 0.1734 L1 0.3988 H0 0.3661 t1 2.0639e-02 t0 inf life 2.0639e-02 t0park inf lifepark 2.0639e-02  rbl 1.169 1.148 1.117 1.070 1.003 0.911 0.792 0.649 0.493 0.367 0.268 0.182 0.104 0.038 0.007 0.001 0.000 0.000 0.000
seed   121 vw1 0.6360 vw0 0.1653 L1 0.4472 H0 0.4145 t1 1.4519e-02 t0 inf life 1.4519e-02 t0park inf lifepark 1.4519e-02  rbl 1.190 1.183 1.171 1.151 1.120 1.074 1.004 0.907 0.785 0.639 0.483 0.360 0.264 0.181 0.105 0.040 0.007 0.001 0.000
seed   122 vw1 0.6799 vw0 0.1815 L1 0.3867 H0 0.3529 t1 2.3517e-02 t0 inf life 2.3517e-02 t0park inf lifepark 2.3517e-02  rbl 1.157 1.131 1.092 1.035 0.956 0.850 0.718 0.564 0.427 0.323 0.235 0.155 0.081 0.025 0.003 0.000 0.000 0.000 0.000
seed   123 vw1 0.6741 vw0 0.1803 L1 0.3906 H0 0.3566 t1 2.3291e-02 t0 inf life 2.3291e-02 t0park inf lifepark 2.3291e-02  rbl 1.160 1.136 1.099 1.046 0.971 0.869 0.740 0.588 0.447 0.339 0.250 0.171 0.097 0.035 0.006 0.000 0.000 0.000 0.000
seed   124 vw1 0.6311 vw0 0.1639 L1 0.4222 H0 0.3881 t1 1.7902e-02 t0 inf life 1.7902e-02 t0park inf lifepark 1.7902e-02  rbl 1.181 1.168 1.148 1.116 1.068 0.999 0.902 0.778 0.630 0.484 0.373 0.282 0.201 0.126 0.058 0.013 0.001 0.000 0.000
seed   125 vw1 0.5866 vw0 0.1373 L1 0.4068 H0 0.3731 t1 1.8148e-02 t0 inf life 1.8148e-02 t0park inf lifepark 1.8148e-02  rbl 1.173 1.156 1.128 1.087 1.026 0.942 0.828 0.689 0.534 0.408 0.309 0.225 0.148 0.076 0.022 0.003 0.000 0.000 0.000
seed   126 vw1 0.5976 vw0 0.1465 L1 0.4398 H0 0.4064 t1 1.3947e-02 t0 inf life 1.3947e-02 t0park inf lifepark 1.3947e-02  rbl 1.188 1.179 1.165 1.142 1.107 1.054 0.976 0.870 0.739 0.585 0.441 0.332 0.242 0.162 0.088 0.029 0.004 0.000 0.000
seed   127 vw1 0.6417 vw0 0.1684 L1 0.4238 H0 0.3904 t1 1.7128e-02 t0 inf life 1.7128e-02 t0park inf lifepark 1.7128e-02  rbl 1.182 1.169 1.149 1.118 1.071 1.003 0.908 0.788 0.645 0.493 0.372 0.277 0.193 0.115 0.047 0.009 0.001 0.000 0.000
seed   128 vw1 0.6178 vw0 0.1524 L1 0.3915 H0 0.3568 t1 2.2044e-02 t0 inf life 2.2044e-02 t0park inf lifepark 2.2044e-02  rbl 1.161 1.138 1.102 1.049 0.974 0.872 0.741 0.589 0.454 0.351 0.264 0.186 0.113 0.047 0.009 0.001 0.000 0.000 0.000
seed   129 vw1 0.5924 vw0 0.1409 L1 0.3985 H0 0.3639 t1 1.9717e-02 t0 inf life 1.9717e-02 t0park inf lifepark 1.9717e-02  rbl 1.166 1.146 1.113 1.066 0.998 0.904 0.782 0.635 0.491 0.381 0.291 0.211 0.136 0.067 0.017 0.002 0.000 0.000 0.000
seed   130 vw1 0.6468 vw0 0.1692 L1 0.395 H0 0.3583 t1 2.2679e-02 t0 inf life 2.2679e-02 t0park inf lifepark 2.2679e-02  rbl 1.161 1.138 1.102 1.050 0.977 0.878 0.749 0.601 0.475 0.376 0.291 0.214 0.141 0.073 0.021 0.003 0.000 0.000 0.000
seed   131 vw1 0.6140 vw0 0.1551 L1 0.4359 H0 0.4022 t1 1.5304e-02 t0 inf life 1.5304e-02 t0park inf lifepark 1.5304e-02  rbl 1.186 1.176 1.161 1.136 1.097 1.040 0.958 0.848 0.713 0.559 0.424 0.321 0.234 0.155 0.083 0.026 0.004 0.000 0.000
seed   132 vw1 0.5680 vw0 0.1301 L1 0.3963 H0 0.3615 t1 1.9135e-02 t0 inf life 1.9135e-02 t0park inf lifepark 1.9135e-02  rbl 1.165 1.143 1.109 1.060 0.990 0.893 0.768 0.619 0.479 0.372 0.284 0.204 0.130 0.062 0.015 0.002 0.000 0.000 0.000
seed   133 vw1 0.6798 vw0 0.1840 L1 0.4277 H0 0.3951 t1 1.7725e-02 t0 inf life 1.7725e-02 t0park inf lifepark 1.7725e-02  rbl 1.184 1.173 1.154 1.126 1.082 1.018 0.929 0.813 0.673 0.514 0.381 0.279 0.192 0.114 0.046 0.009 0.001 0.000 0.000
seed   134 vw1 0.6310 vw0 0.1607 L1 0.4145 H0 0.381 t1 1.8459e-02 t0 inf life 1.8459e-02 t0park inf lifepark 1.8459e-02  rbl 1.178 1.163 1.139 1.103 1.049 0.972 0.868 0.737 0.583 0.440 0.332 0.242 0.162 0.088 0.028 0.004 0.000 0.000 0.000
seed   135 vw1 0.5752 vw0 0.1390 L1 0.3801 H0 0.3459 t1 2.2149e-02 t0 inf life 2.2149e-02 t0park inf lifepark 2.2149e-02  rbl 1.149 1.120 1.076 1.014 0.928 0.816 0.677 0.525 0.401 0.303 0.219 0.142 0.071 0.019 0.002 0.000 0.000 0.000 0.000
seed   136 vw1 0.6860 vw0 0.1829 L1 0.3708 H0 0.3365 t1 2.6618e-02 t0 inf life 2.6618e-02 t0park inf lifepark 2.6618e-02  rbl 1.139 1.105 1.055 0.985 0.890 0.768 0.621 0.476 0.364 0.272 0.191 0.116 0.049 0.010 0.001 0.000 0.000 0.000 0.000
seed   137 vw1 0.6642 vw0 0.1799 L1 0.3897 H0 0.3564 t1 2.3073e-02 t0 inf life 2.3073e-02 t0park inf lifepark 2.3073e-02  rbl 1.161 1.137 1.101 1.048 0.972 0.869 0.739 0.585 0.440 0.331 0.242 0.162 0.089 0.029 0.004 0.000 0.000 0.000 0.000
seed   138 vw1 0.6527 vw0 0.1736 L1 0.3684 H0 0.3354 t1 2.4555e-02 t0 inf life 2.4555e-02 t0park inf lifepark 2.4555e-02  rbl 1.139 1.105 1.054 0.983 0.885 0.762 0.614 0.459 0.340 0.244 0.160 0.084 0.025 0.003 0.000 0.000 0.000 0.000 0.000
seed   139 vw1 0.6559 vw0 0.1747 L1 0.3903 H0 0.3567 t1 2.1779e-02 t0 inf life 2.1779e-02 t0park inf lifepark 2.1779e-02  rbl 1.162 1.138 1.101 1.048 0.972 0.870 0.741 0.588 0.444 0.335 0.244 0.163 0.088 0.028 0.004 0.000 0.000 0.000 0.000
seed   140 vw1 0.6160 vw0 0.1528 L1 0.3995 H0 0.366 t1 2.0618e-02 t0 inf life 2.0618e-02 t0park inf lifepark 2.0618e-02  rbl 1.169 1.149 1.118 1.072 1.006 0.914 0.794 0.648 0.497 0.380 0.287 0.205 0.129 0.060 0.014 0.002 0.000 0.000 0.000
seed   141 vw1 0.6510 vw0 0.1729 L1 0.4263 H0 0.3919 t1 1.7793e-02 t0 inf life 1.7793e-02 t0park inf lifepark 1.7793e-02  rbl 1.182 1.171 1.152 1.122 1.077 1.011 0.919 0.798 0.653 0.506 0.392 0.300 0.218 0.143 0.072 0.020 0.003 0.000 0.000
seed   142 vw1 0.6581 vw0 0.1763 L1 0.4131 H0 0.3793 t1 1.9999e-02 t0 inf life 1.9999e-02 t0park inf lifepark 1.9999e-02  rbl 1.176 1.161 1.136 1.098 1.043 0.965 0.859 0.726 0.572 0.434 0.329 0.241 0.163 0.090 0.030 0.005 0.000 0.000 0.000
seed   143 vw1 0.6188 vw0 0.1534 L1 0.3754 H0 0.3419 t1 2.4388e-02 t0 inf life 2.4388e-02 t0park inf lifepark 2.4388e-02  rbl 1.147 1.115 1.069 1.004 0.914 0.797 0.654 0.502 0.382 0.287 0.203 0.126 0.057 0.013 0.001 0.000 0.000 0.000 0.000
seed   144 vw1 0.5868 vw0 0.1383 L1 0.3961 H0 0.362 t1 1.9936e-02 t0 inf life 1.9936e-02 t0park inf lifepark 1.9936e-02  rbl 1.166 1.144 1.110 1.061 0.991 0.895 0.771 0.623 0.478 0.366 0.275 0.194 0.119 0.051 0.011 0.001 0.000 0.000 0.000
seed   145 vw1 0.6387 vw0 0.1656 L1 0.3978 H0 0.3638 t1 2.1480e-02 t0 inf life 2.1480e-02 t0park inf lifepark 2.1480e-02  rbl 1.168 1.147 1.115 1.068 1.000 0.906 0.782 0.634 0.487 0.376 0.285 0.205 0.131 0.062 0.015 0.002 0.000 0.000 0.000
seed   146 vw1 0.6388 vw0 0.1654 L1 0.3905 H0 0.3561 t1 2.3175e-02 t0 inf life 2.3175e-02 t0park inf lifepark 2.3175e-02  rbl 1.161 1.137 1.100 1.047 0.972 0.869 0.737 0.584 0.449 0.346 0.260 0.183 0.110 0.046 0.009 0.001 0.000 0.000 0.000
seed   147 vw1 0.6310 vw0 0.1599 L1 0.4103 H0 0.3776 t1 1.8874e-02 t0 inf life 1.8874e-02 t0park inf lifepark 1.8874e-02  rbl 1.176 1.160 1.135 1.097 1.040 0.958 0.850 0.716 0.559 0.416 0.308 0.219 0.138 0.065 0.016 0.002 0.000 0.000 0.000
seed   148 vw1 0.5848 vw0 0.1426 L1 0.4153 H0 0.3804 t1 1.6838e-02 t0 inf life 1.6838e-02 t0park inf lifepark 1.6838e-02  rbl 1.176 1.161 1.137 1.100 1.046 0.969 0.864 0.732 0.581 0.448 0.345 0.259 0.180 0.107 0.043 0.008 0.001 0.000 0.000
seed   149 vw1 0.6085 vw0 0.1512 L1 0.4545 H0 0.4209 t1 1.2628e-02 t0 inf life 1.2628e-02 t0park inf lifepark 1.2628e-02  rbl 1.190 1.184 1.174 1.157 1.130 1.088 1.026 0.936 0.818 0.677 0.522 0.397 0.300 0.216 0.139 0.069 0.018 0.002 0.000
seed   150 vw1 0.6301 vw0 0.1637 L1 0.3859 H0 0.351 t1 2.2605e-02 t0 inf life 2.2605e-02 t0park inf lifepark 2.2605e-02  rbl 1.155 1.128 1.087 1.030 0.949 0.841 0.706 0.555 0.429 0.330 0.246 0.169 0.096 0.035 0.006 0.000 0.000 0.000 0.000
seed   151 vw1 0.6615 vw0 0.1780 L1 0.4007 H0 0.3675 t1 2.1352e-02 t0 inf life 2.1352e-02 t0park inf lifepark 2.1352e-02  rbl 1.170 1.151 1.121 1.076 1.011 0.921 0.801 0.657 0.503 0.383 0.289 0.206 0.130 0.061 0.014 0.002 0.000 0.000 0.000
seed   152 vw1 0.6461 vw0 0.1727 L1 0.3636 H0 0.3292 t1 2.7169e-02 t0 inf life 2.7169e-02 t0park inf lifepark 2.7169e-02  rbl 1.131 1.093 1.038 0.961 0.857 0.726 0.573 0.439 0.336 0.250 0.171 0.098 0.036 0.006 0.000 0.000 0.000 0.000 0.000
seed   153 vw1 0.6074 vw0 0.1482 L1 0.4195 H0 0.3851 t1 1.7073e-02 t0 inf life 1.7073e-02 t0park inf lifepark 1.7073e-02  rbl 1.179 1.166 1.144 1.110 1.059 0.987 0.888 0.761 0.611 0.469 0.360 0.270 0.190 0.115 0.049 0.010 0.001 0.000 0.000
seed   154 vw1 0.6171 vw0 0.1563 L1 0.4013 H0 0.3678 t1 2.0031e-02 t0 inf life 2.0031e-02 t0park inf lifepark 2.0031e-02  rbl 1.170 1.150 1.119 1.074 1.009 0.918 0.801 0.659 0.506 0.385 0.288 0.205 0.128 0.058 0.013 0.001 0.000 0.000 0.000
seed   155 vw1 0.6474 vw0 0.1660 L1 0.3905 H0 0.3569 t1 2.2370e-02 t0 inf life 2.2370e-02 t0park inf lifepark 2.2370e-02  rbl 1.162 1.138 1.102 1.049 0.973 0.871 0.742 0.589 0.446 0.336 0.245 0.164 0.090 0.029 0.004 0.000 0.000 0.000 0.000
seed   156 vw1 0.6469 vw0 0.1674 L1 0.3897 H0 0.3555 t1 2.2369e-02 t0 inf life 2.2369e-02 t0park inf lifepark 2.2369e-02  rbl 1.160 1.136 1.099 1.045 0.968 0.865 0.734 0.581 0.444 0.339 0.251 0.172 0.098 0.035 0.006 0.000 0.000 0.000 0.000
seed   157 vw1 0.6140 vw0 0.1536 L1 0.4381 H0 0.4039 t1 1.4786e-02 t0 inf life 1.4786e-02 t0park inf lifepark 1.4786e-02  rbl 1.186 1.177 1.162 1.138 1.100 1.045 0.965 0.857 0.724 0.571 0.436 0.331 0.244 0.164 0.091 0.031 0.005 0.000 0.000
seed   158 vw1 0.6563 vw0 0.1762 L1 0.4321 H0 0.3989 t1 1.7075e-02 t0 inf life 1.7075e-02 t0park inf lifepark 1.7075e-02  rbl 1.185 1.175 1.158 1.132 1.091 1.031 0.946 0.832 0.694 0.538 0.406 0.305 0.219 0.141 0.070 0.019 0.002 0.000 0.000
seed   159 vw1 0.5806 vw0 0.1386 L1 0.3875 H0 0.3531 t1 2.1264e-02 t0 inf life 2.1264e-02 t0park inf lifepark 2.1264e-02  rbl 1.157 1.132 1.093 1.038 0.959 0.853 0.719 0.565 0.435 0.335 0.249 0.172 0.100 0.037 0.006 0.001 0.000 0.000 0.000
seed   160 vw1 0.6255 vw0 0.1613 L1 0.3759 H0 0.3429 t1 2.4591e-02 t0 inf life 2.4591e-02 t0park inf lifepark 2.4591e-02  rbl 1.148 1.118 1.073 1.008 0.919 0.802 0.659 0.504 0.382 0.286 0.203 0.127 0.058 0.013 0.001 0.000 0.000 0.000 0.000
seed   161 vw1 0.6402 vw0 0.1668 L1 0.4 H0 0.3666 t1 2.1402e-02 t0 inf life 2.1402e-02 t0park inf lifepark 2.1402e-02  rbl 1.169 1.149 1.118 1.072 1.007 0.915 0.796 0.651 0.500 0.382 0.288 0.206 0.130 0.061 0.014 0.002 0.000 0.000 0.000
seed   162 vw1 0.6818 vw0 0.1869 L1 0.4201 H0 0.3867 t1 1.9251e-02 t0 inf life 1.9251e-02 t0park inf lifepark 1.9251e-02  rbl 1.180 1.167 1.145 1.112 1.063 0.992 0.894 0.769 0.621 0.471 0.355 0.263 0.181 0.106 0.041 0.007 0.001 0.000 0.000
seed   163 vw1 0.6222 vw0 0.1573 L1 0.3766 H0 0.3429 t1 2.3470e-02 t0 inf life 2.3470e-02 t0park inf lifepark 2.3470e-02  rbl 1.150 1.119 1.074 1.010 0.921 0.803 0.659 0.507 0.389 0.294 0.212 0.135 0.064 0.015 0.002 0.000 0.000 0.000 0.000
seed   164 vw1 0.6626 vw0 0.1795 L1 0.3933 H0 0.3599 t1 2.2213e-02 t0 inf life 2.2213e-02 t0park inf lifepark 2.2213e-02  rbl 1.165 1.142 1.108 1.057 0.985 0.886 0.760 0.609 0.460 0.346 0.255 0.174 0.099 0.036 0.006 0.000 0.000 0.000 0.000
seed   165 vw1 0.6309 vw0 0.1621 L1 0.435 H0 0.4026 t1 1.5611e-02 t0 inf life 1.5611e-02 t0park inf lifepark 1.5611e-02  rbl 1.187 1.177 1.161 1.136 1.098 1.040 0.957 0.849 0.716 0.560 0.410 0.298 0.206 0.125 0.054 0.011 0.001 0.000 0.000
