# 2026-09-25T11:44:16+08:00 run mc-track-ff85-s101: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=100 --env N0=101 --env JOBS=1 --env VLO=0.3 --env VBAR=0.15 --env SCAN=0.20:0.65:0.025   (commit 530b0ea)
mc: mos_ff_mismatch 85C VLO=0.3 VBAR=0.15 sense 10.0 ns, seeds 101..200, scan [0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65], TSTOP 50m
seed   118 vw1 0.8289 vw0 0.1974 L1 0.4316 H0 0.3774 t1 9.6590e-04 t0 inf life 9.6590e-04 t0park inf lifepark 9.6590e-04  rbl 1.156 1.135 1.104 1.061 1.000 0.920 0.821 0.710 0.608 0.521 0.443 0.371 0.303 0.239 0.186 0.158 0.151 0.150 0.150
seed   119 vw1 0.8647 vw0 0.1950 L1 0.4023 H0 0.3456 t1 8.4379e-04 t0 inf life 8.4379e-04 t0park inf lifepark 8.4379e-04  rbl 1.125 1.091 1.044 0.978 0.892 0.788 0.681 0.588 0.507 0.433 0.364 0.298 0.236 0.185 0.158 0.151 0.150 0.150 0.150
seed   120 vw1 0.8724 vw0 0.1889 L1 0.4021 H0 0.3531 t1 7.0833e-04 t0 inf life 7.0833e-04 t0park inf lifepark 7.0833e-04  rbl 1.138 1.108 1.065 1.005 0.927 0.829 0.714 0.602 0.507 0.424 0.349 0.278 0.215 0.170 0.154 0.150 0.150 0.150 0.150
seed   121 vw1 0.8483 vw0 0.1927 L1 0.452 H0 0.4028 t1 7.4783e-04 t0 inf life 7.4783e-04 t0park inf lifepark 7.4783e-04  rbl 1.173 1.159 1.139 1.109 1.066 1.005 0.926 0.828 0.712 0.601 0.506 0.425 0.351 0.282 0.219 0.173 0.154 0.150 0.150
seed   122 vw1 0.8904 vw0 0.1911 L1 0.3921 H0 0.3405 t1 6.3271e-04 t0 2.2041e-04 life 2.2041e-04 t0park inf lifepark 6.3271e-04  rbl 1.121 1.086 1.035 0.966 0.877 0.770 0.657 0.558 0.473 0.396 0.325 0.258 0.199 0.163 0.152 0.150 0.150 0.150 0.150
seed   123 vw1 0.8844 vw0 0.1919 L1 0.3973 H0 0.3452 t1 6.5604e-04 t0 3.0598e-04 life 3.0598e-04 t0park inf lifepark 6.5604e-04  rbl 1.127 1.093 1.046 0.981 0.896 0.791 0.678 0.577 0.491 0.413 0.342 0.274 0.213 0.170 0.154 0.150 0.150 0.150 0.150
seed   124 vw1 0.8459 vw0 0.1920 L1 0.43 H0 0.376 t1 8.2905e-04 t0 inf life 8.2905e-04 t0park inf lifepark 8.2905e-04  rbl 1.156 1.135 1.104 1.060 0.998 0.917 0.816 0.704 0.603 0.516 0.438 0.366 0.298 0.234 0.182 0.157 0.151 0.150 0.150
seed   125 vw1 0.7983 vw0 0.1867 L1 0.4143 H0 0.3616 t1 1.0515e-03 t0 inf life 1.0515e-03 t0park inf lifepark 1.0515e-03  rbl 1.144 1.118 1.080 1.027 0.954 0.861 0.751 0.641 0.547 0.465 0.390 0.320 0.254 0.197 0.162 0.152 0.150 0.150 0.150
seed   126 vw1 0.8139 vw0 0.1909 L1 0.4443 H0 0.3933 t1 8.9107e-04 t0 inf life 8.9107e-04 t0park inf lifepark 8.9107e-04  rbl 1.169 1.153 1.129 1.094 1.045 0.978 0.891 0.784 0.669 0.567 0.480 0.403 0.331 0.264 0.204 0.165 0.152 0.150 0.150
seed   127 vw1 0.8561 vw0 0.1940 L1 0.428 H0 0.3769 t1 7.9795e-04 t0 inf life 7.9795e-04 t0park inf lifepark 7.9795e-04  rbl 1.157 1.136 1.106 1.062 1.001 0.921 0.822 0.708 0.601 0.510 0.429 0.355 0.286 0.222 0.174 0.155 0.151 0.150 0.150
