# 2026-09-25T11:08:13+08:00 run mc-base-tt85: mc.py  --env CORNER=mos_tt --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=2 --env TSTOP=5m --env SCAN=0.05:0.40:0.025   (commit 162c494)
mc: mos_tt_mismatch 85C VLO=0.0 VBAR=0.0 sense 10.0 ns, seeds 1..200, scan [0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4], TSTOP 5m
seed    22 vw1 0.7408 vw0 -0.0716 L1 0.264 H0 0.2202 t1 1.4853e-05 t0 3.8378e-04 life 1.4853e-05  rbl 1.171 1.156 1.131 1.092 1.029 0.931 0.805 0.675 0.556 0.456 0.370 0.292 0.220 0.150 0.085
seed    23 vw1 0.8047 vw0 -0.0451 L1 0.2486 H0 0.202 t1 3.8516e-06 t0 4.6721e-05 life 3.8516e-06  rbl 1.163 1.144 1.113 1.064 0.984 0.859 0.709 0.591 0.494 0.411 0.334 0.262 0.194 0.128 0.067
seed    24 vw1 0.7464 vw0 -0.0683 L1 0.2969 H0 0.2524 t1 1.1326e-05 t0 9.7555e-04 life 1.1326e-05  rbl 1.186 1.179 1.168 1.150 1.121 1.072 0.988 0.856 0.712 0.589 0.487 0.399 0.320 0.247 0.176
seed    25 vw1 0.7354 vw0 -0.0734 L1 0.3213 H0 0.2777 t1 1.3024e-05 t0 inf life 1.3024e-05  rbl 1.192 1.189 1.183 1.174 1.158 1.133 1.090 1.013 0.880 0.714 0.586 0.485 0.398 0.319 0.247
seed    26 vw1 0.7346 vw0 -0.0733 L1 0.2646 H0 0.2211 t1 1.9889e-05 t0 5.9746e-04 life 1.9889e-05  rbl 1.171 1.156 1.132 1.094 1.032 0.936 0.810 0.680 0.559 0.458 0.372 0.294 0.221 0.152 0.087
seed    27 vw1 0.7567 vw0 -0.0656 L1 0.2681 H0 0.2233 t1 9.7192e-06 t0 2.5470e-04 life 9.7192e-06  rbl 1.174 1.160 1.139 1.104 1.048 0.957 0.826 0.691 0.572 0.473 0.387 0.309 0.237 0.167 0.101
seed    28 vw1 0.8029 vw0 -0.0440 L1 0.307 H0 0.2623 t1 3.3547e-06 t0 2.9266e-04 life 3.3547e-06  rbl 1.189 1.183 1.174 1.159 1.135 1.095 1.027 0.913 0.764 0.634 0.526 0.434 0.353 0.278 0.207
seed    29 vw1 0.7629 vw0 -0.0628 L1 0.2895 H0 0.2447 t1 8.0610e-06 t0 4.3400e-04 life 8.0610e-06  rbl 1.184 1.175 1.162 1.141 1.106 1.048 0.951 0.809 0.671 0.556 0.460 0.375 0.299 0.226 0.158
seed    30 vw1 0.7715 vw0 -0.0577 L1 0.2935 H0 0.2506 t1 7.9577e-06 t0 5.6086e-04 life 7.9577e-06  rbl 1.184 1.177 1.164 1.145 1.113 1.060 0.972 0.841 0.703 0.577 0.473 0.384 0.306 0.232 0.163
seed    31 vw1 0.7638 vw0 -0.0612 L1 0.2659 H0 0.221 t1 1.1238e-05 t0 2.9713e-04 life 1.1238e-05  rbl 1.173 1.158 1.136 1.100 1.041 0.947 0.814 0.678 0.562 0.465 0.380 0.304 0.232 0.163 0.098
seed    32 vw1 0.8008 vw0 -0.0472 L1 0.2692 H0 0.227 t1 4.1574e-06 t0 1.0773e-04 life 4.1574e-06  rbl 1.172 1.158 1.135 1.099 1.040 0.951 0.835 0.710 0.583 0.475 0.384 0.303 0.228 0.158 0.092
seed    33 vw1 0.7725 vw0 -0.0575 L1 0.281 H0 0.2368 t1 7.8354e-06 t0 3.3074e-04 life 7.8354e-06  rbl 1.180 1.170 1.153 1.126 1.083 1.011 0.898 0.760 0.632 0.522 0.430 0.348 0.272 0.201 0.133
seed    34 vw1 0.7754 vw0 -0.0575 L1 0.2753 H0 0.2346 t1 7.6106e-06 t0 2.9041e-04 life 7.6106e-06  rbl 1.175 1.162 1.141 1.108 1.055 0.974 0.868 0.750 0.620 0.501 0.403 0.318 0.240 0.167 0.099
seed    35 vw1 0.8033 vw0 -0.0444 L1 0.314 H0 0.27 t1 3.2556e-06 t0 3.7368e-04 life 3.2556e-06  rbl 1.190 1.185 1.178 1.166 1.146 1.113 1.058 0.962 0.815 0.671 0.554 0.458 0.374 0.297 0.226
seed    36 vw1 0.8176 vw0 -0.0416 L1 0.2838 H0 0.2387 t1 2.4902e-06 t0 8.5977e-05 life 2.4902e-06  rbl 1.182 1.172 1.157 1.133 1.093 1.027 0.918 0.772 0.641 0.532 0.441 0.359 0.284 0.213 0.145
seed    37 vw1 0.7617 vw0 -0.0639 L1 0.2844 H0 0.2432 t1 7.2612e-06 t0 3.3459e-04 life 7.2612e-06  rbl 1.179 1.168 1.150 1.122 1.077 1.005 0.906 0.792 0.666 0.540 0.435 0.345 0.265 0.190 0.120
seed    38 vw1 0.7522 vw0 -0.0669 L1 0.2947 H0 0.2533 t1 1.0509e-05 t0 8.6091e-04 life 1.0509e-05  rbl 1.184 1.175 1.162 1.140 1.105 1.048 0.958 0.841 0.717 0.588 0.476 0.383 0.301 0.225 0.154
seed    39 vw1 0.7534 vw0 -0.0670 L1 0.2487 H0 0.2051 t1 1.3128e-05 t0 1.9660e-04 life 1.3128e-05  rbl 1.158 1.136 1.101 1.046 0.961 0.849 0.726 0.601 0.494 0.403 0.322 0.247 0.176 0.108 0.049
seed    40 vw1 0.7718 vw0 -0.0586 L1 0.2875 H0 0.2449 t1 7.6507e-06 t0 4.1247e-04 life 7.6507e-06  rbl 1.181 1.171 1.155 1.130 1.089 1.024 0.923 0.801 0.674 0.551 0.449 0.361 0.282 0.209 0.139
seed    41 vw1 0.7424 vw0 -0.0716 L1 0.2609 H0 0.2172 t1 1.4949e-05 t0 3.4146e-04 life 1.4949e-05  rbl 1.167 1.150 1.123 1.080 1.011 0.910 0.787 0.660 0.543 0.445 0.359 0.282 0.209 0.140 0.076
seed    42 vw1 0.7924 vw0 -0.0508 L1 0.2524 H0 0.2087 t1 5.3298e-06 t0 7.6700e-05 life 5.3298e-06  rbl 1.164 1.144 1.113 1.064 0.987 0.874 0.744 0.617 0.509 0.417 0.336 0.261 0.190 0.122 0.060
seed    43 vw1 0.7337 vw0 -0.0744 L1 0.2772 H0 0.2326 t1 1.7956e-05 t0 7.9122e-04 life 1.7956e-05  rbl 1.179 1.168 1.151 1.123 1.078 1.003 0.884 0.739 0.612 0.508 0.419 0.339 0.265 0.195 0.128
seed    44 vw1 0.7874 vw0 -0.0532 L1 0.2437 H0 0.1994 t1 4.7780e-06 t0 4.9344e-05 life 4.7780e-06  rbl 1.154 1.130 1.092 1.032 0.942 0.824 0.697 0.576 0.474 0.387 0.309 0.235 0.166 0.100 0.043
seed    45 vw1 0.8129 vw0 -0.0437 L1 0.2993 H0 0.2573 t1 2.7916e-06 t0 1.7693e-04 life 2.7916e-06  rbl 1.185 1.178 1.166 1.147 1.117 1.066 0.981 0.863 0.737 0.609 0.497 0.403 0.320 0.243 0.171
seed    46 vw1 0.7979 vw0 -0.0481 L1 0.266 H0 0.2227 t1 5.2706e-06 t0 1.1980e-04 life 5.2706e-06  rbl 1.172 1.157 1.134 1.096 1.036 0.943 0.818 0.688 0.565 0.463 0.376 0.297 0.224 0.155 0.090
seed    47 vw1 0.7854 vw0 -0.0537 L1 0.2645 H0 0.2229 t1 5.1667e-06 t0 1.1119e-04 life 5.1667e-06  rbl 1.169 1.153 1.127 1.086 1.022 0.929 0.815 0.690 0.562 0.455 0.365 0.285 0.211 0.141 0.076
seed    48 vw1 0.7581 vw0 -0.0654 L1 0.2711 H0 0.2304 t1 1.0606e-05 t0 3.7018e-04 life 1.0606e-05  rbl 1.173 1.159 1.136 1.101 1.044 0.958 0.849 0.728 0.597 0.482 0.387 0.303 0.227 0.155 0.088
seed    49 vw1 0.7506 vw0 -0.0669 L1 0.2801 H0 0.2372 t1 1.1790e-05 t0 5.4549e-04 life 1.1790e-05  rbl 1.179 1.169 1.152 1.125 1.081 1.008 0.897 0.763 0.633 0.519 0.425 0.342 0.266 0.195 0.127
seed    50 vw1 0.7486 vw0 -0.0676 L1 0.2657 H0 0.2217 t1 1.4317e-05 t0 4.0040e-04 life 1.4317e-05  rbl 1.172 1.157 1.134 1.097 1.037 0.942 0.814 0.683 0.563 0.463 0.377 0.299 0.227 0.158 0.093
seed    51 vw1 0.8540 vw0 -0.0315 L1 0.3065 H0 0.2633 t1 1.2059e-06 t0 8.8962e-05 life 1.2059e-06  rbl 1.189 1.183 1.175 1.160 1.137 1.097 1.030 0.917 0.771 0.638 0.525 0.430 0.348 0.272 0.201
seed    52 vw1 0.7695 vw0 -0.0603 L1 0.2721 H0 0.2285 t1 6.6165e-06 t0 1.8431e-04 life 6.6165e-06  rbl 1.175 1.162 1.141 1.108 1.054 0.967 0.847 0.717 0.593 0.488 0.398 0.318 0.243 0.173 0.106
seed    53 vw1 0.7783 vw0 -0.0548 L1 0.2994 H0 0.2586 t1 6.7914e-06 t0 5.8358e-04 life 6.7914e-06  rbl 1.185 1.178 1.166 1.147 1.117 1.066 0.985 0.869 0.745 0.614 0.497 0.401 0.317 0.240 0.169
seed    54 vw1 0.7564 vw0 -0.0649 L1 0.2871 H0 0.2428 t1 9.9112e-06 t0 5.3088e-04 life 9.9112e-06  rbl 1.183 1.175 1.162 1.141 1.106 1.048 0.949 0.802 0.659 0.546 0.451 0.369 0.293 0.222 0.154
seed    55 vw1 0.7780 vw0 -0.0553 L1 0.2778 H0 0.2342 t1 6.3784e-06 t0 2.2550e-04 life 6.3784e-06  rbl 1.178 1.167 1.150 1.122 1.076 1.001 0.885 0.747 0.619 0.510 0.419 0.338 0.263 0.193 0.126
seed    56 vw1 0.7544 vw0 -0.0665 L1 0.2723 H0 0.2268 t1 1.1359e-05 t0 3.4084e-04 life 1.1359e-05  rbl 1.177 1.165 1.146 1.114 1.063 0.979 0.850 0.709 0.589 0.489 0.403 0.324 0.251 0.181 0.114
seed    57 vw1 0.7798 vw0 -0.0567 L1 0.27 H0 0.2265 t1 6.4705e-06 t0 1.7369e-04 life 6.4705e-06  rbl 1.175 1.162 1.141 1.107 1.053 0.964 0.840 0.708 0.583 0.479 0.390 0.310 0.236 0.166 0.099
seed    58 vw1 0.7829 vw0 -0.0528 L1 0.2622 H0 0.2163 t1 6.4257e-06 t0 1.3181e-04 life 6.4257e-06  rbl 1.173 1.158 1.135 1.097 1.036 0.935 0.790 0.652 0.544 0.454 0.373 0.298 0.228 0.160 0.095
seed    59 vw1 0.7858 vw0 -0.0527 L1 0.2693 H0 0.2275 t1 6.4112e-06 t0 1.7961e-04 life 6.4112e-06  rbl 1.171 1.156 1.133 1.096 1.037 0.948 0.835 0.713 0.585 0.475 0.383 0.301 0.226 0.156 0.090
seed    60 vw1 0.8003 vw0 -0.0471 L1 0.3074 H0 0.2646 t1 3.5421e-06 t0 3.3970e-04 life 3.5421e-06  rbl 1.188 1.183 1.173 1.158 1.134 1.094 1.026 0.914 0.776 0.646 0.529 0.432 0.347 0.271 0.199
seed    61 vw1 0.7783 vw0 -0.0568 L1 0.2393 H0 0.1967 t1 6.7972e-06 t0 7.0268e-05 life 6.7972e-06  rbl 1.149 1.122 1.079 1.014 0.921 0.809 0.683 0.559 0.455 0.367 0.287 0.213 0.143 0.077 0.027
seed    62 vw1 0.7391 vw0 -0.0729 L1 0.2574 H0 0.2126 t1 1.9257e-05 t0 4.0238e-04 life 1.9257e-05  rbl 1.167 1.150 1.123 1.080 1.011 0.904 0.766 0.636 0.527 0.435 0.354 0.280 0.209 0.142 0.079
seed    63 vw1 0.7798 vw0 -0.0554 L1 0.2754 H0 0.2343 t1 6.5465e-06 t0 2.3233e-04 life 6.5465e-06  rbl 1.175 1.161 1.140 1.107 1.054 0.973 0.866 0.748 0.619 0.501 0.404 0.319 0.242 0.170 0.102
seed    64 vw1 0.7880 vw0 -0.0502 L1 0.2631 H0 0.2182 t1 6.0326e-06 t0 1.2879e-04 life 6.0326e-06  rbl 1.171 1.156 1.133 1.095 1.034 0.935 0.799 0.663 0.549 0.455 0.372 0.296 0.225 0.158 0.093
seed    65 vw1 0.7670 vw0 -0.0602 L1 0.2833 H0 0.2408 t1 8.4226e-06 t0 4.0517e-04 life 8.4226e-06  rbl 1.180 1.170 1.154 1.128 1.085 1.016 0.910 0.782 0.652 0.533 0.434 0.348 0.271 0.199 0.130
seed    66 vw1 0.7921 vw0 -0.0496 L1 0.2752 H0 0.2331 t1 4.3140e-06 t0 1.3900e-04 life 4.3140e-06  rbl 1.175 1.162 1.141 1.108 1.055 0.973 0.862 0.742 0.614 0.501 0.406 0.323 0.248 0.176 0.109
seed    67 vw1 0.7503 vw0 -0.0685 L1 0.2717 H0 0.2287 t1 1.3243e-05 t0 4.5064e-04 life 1.3243e-05  rbl 1.175 1.163 1.142 1.109 1.056 0.971 0.850 0.718 0.592 0.486 0.396 0.316 0.242 0.171 0.104
seed    68 vw1 0.7399 vw0 -0.0724 L1 0.2797 H0 0.2386 t1 1.4290e-05 t0 7.0980e-04 life 1.4290e-05  rbl 1.178 1.167 1.148 1.119 1.072 0.997 0.890 0.771 0.640 0.519 0.419 0.333 0.255 0.182 0.113
seed    69 vw1 0.7968 vw0 -0.0478 L1 0.3022 H0 0.2598 t1 4.6807e-06 t0 3.8514e-04 life 4.6807e-06  rbl 1.187 1.181 1.170 1.154 1.127 1.083 1.008 0.890 0.751 0.621 0.508 0.414 0.332 0.257 0.186
seed    70 vw1 0.7791 vw0 -0.0550 L1 0.3014 H0 0.2584 t1 5.4542e-06 t0 4.3183e-04 life 5.4542e-06  rbl 1.187 1.181 1.170 1.154 1.127 1.082 1.005 0.884 0.743 0.615 0.505 0.413 0.332 0.257 0.186
seed    71 vw1 0.7972 vw0 -0.0477 L1 0.2763 H0 0.2327 t1 4.1635e-06 t0 1.4165e-04 life 4.1635e-06  rbl 1.178 1.166 1.148 1.119 1.071 0.992 0.873 0.739 0.613 0.505 0.414 0.332 0.258 0.187 0.119
seed    72 vw1 0.7869 vw0 -0.0522 L1 0.2987 H0 0.2585 t1 4.2061e-06 t0 3.2142e-04 life 4.2061e-06  rbl 1.185 1.177 1.164 1.144 1.111 1.058 0.973 0.864 0.745 0.613 0.494 0.395 0.310 0.232 0.159
seed    73 vw1 0.7511 vw0 -0.0682 L1 0.2843 H0 0.2392 t1 9.7531e-06 t0 4.4364e-04 life 9.7531e-06  rbl 1.182 1.173 1.158 1.134 1.095 1.029 0.921 0.775 0.643 0.534 0.442 0.360 0.285 0.213 0.145
seed    74 vw1 0.7347 vw0 -0.0759 L1 0.2174 H0 0.1723 t1 2.2080e-05 t0 1.2318e-04 life 2.2080e-05  rbl 1.125 1.085 1.023 0.932 0.814 0.686 0.569 0.470 0.384 0.306 0.233 0.163 0.097 0.040 0.009
seed    75 vw1 0.7640 vw0 -0.0624 L1 0.238 H0 0.1936 t1 9.5023e-06 t0 9.2498e-05 life 9.5023e-06  rbl 1.149 1.122 1.081 1.016 0.919 0.796 0.667 0.550 0.453 0.369 0.292 0.221 0.152 0.088 0.035
seed    76 vw1 0.7516 vw0 -0.0674 L1 0.2938 H0 0.2502 t1 9.7493e-06 t0 6.8348e-04 life 9.7493e-06  rbl 1.184 1.176 1.164 1.143 1.110 1.055 0.965 0.835 0.701 0.578 0.474 0.386 0.307 0.233 0.163
seed    77 vw1 0.7343 vw0 -0.0755 L1 0.2239 H0 0.1772 t1 1.9333e-05 t0 1.2279e-04 life 1.9333e-05  rbl 1.136 1.101 1.048 0.964 0.845 0.710 0.593 0.496 0.411 0.333 0.261 0.192 0.125 0.064 0.020
seed    78 vw1 0.7802 vw0 -0.0549 L1 0.2677 H0 0.223 t1 7.2557e-06 t0 1.8564e-04 life 7.2557e-06  rbl 1.173 1.159 1.137 1.102 1.045 0.953 0.823 0.689 0.570 0.471 0.385 0.308 0.235 0.166 0.100
seed    79 vw1 0.7424 vw0 -0.0707 L1 0.2545 H0 0.2126 t1 1.6000e-05 t0 3.2679e-04 life 1.6000e-05  rbl 1.162 1.143 1.112 1.064 0.990 0.886 0.765 0.636 0.518 0.420 0.337 0.260 0.189 0.122 0.061
seed    80 vw1 0.7807 vw0 -0.0534 L1 0.2251 H0 0.1797 t1 7.0704e-06 t0 4.5195e-05 life 7.0704e-06  rbl 1.133 1.099 1.044 0.962 0.850 0.723 0.602 0.500 0.413 0.334 0.260 0.191 0.124 0.063 0.020
