# 2026-09-25T11:21:01+08:00 run mc-ls-ss27: mc.py  --env CORNER=mos_ss --env TEMP=27 --env NS=200 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.1 --env SCAN=0.35:0.80:0.025   (commit 530b0ea)
mc: mos_ss_mismatch 27C VLO=0.3 VBAR=0.1 sense 10.0 ns, seeds 1..200, scan [0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8], TSTOP 50m
seed    18 vw1 0.6081 vw0 0.1570 L1 0.5616 H0 0.5272 t1 3.7439e-03 t0 inf life 3.7439e-03 t0park inf lifepark 3.7439e-03  rbl 1.184 1.169 1.145 1.105 1.039 0.950 0.843 0.713 0.563 0.428 0.324 0.237 0.161 0.114 0.102 0.100 0.100 0.100 0.100
seed    19 vw1 0.6109 vw0 0.1544 L1 0.5201 H0 0.4858 t1 8.0333e-03 t0 inf life 8.0333e-03 t0park inf lifepark 8.0333e-03  rbl 1.154 1.120 1.066 0.987 0.887 0.764 0.617 0.471 0.360 0.269 0.189 0.127 0.104 0.100 0.100 0.100 0.100 0.100 0.100
seed    20 vw1 0.6474 vw0 0.1746 L1 0.5411 H0 0.5063 t1 8.2471e-03 t0 inf life 8.2471e-03 t0park inf lifepark 8.2471e-03  rbl 1.172 1.150 1.114 1.056 0.971 0.865 0.738 0.588 0.452 0.348 0.261 0.184 0.126 0.104 0.100 0.100 0.100 0.100 0.100
seed    21 vw1 0.6053 vw0 0.1559 L1 0.5724 H0 0.5395 t1 2.5731e-03 t0 inf life 2.5731e-03 t0park inf lifepark 2.5731e-03  rbl 1.190 1.179 1.161 1.130 1.077 0.998 0.902 0.783 0.640 0.484 0.360 0.263 0.181 0.122 0.103 0.100 0.100 0.100 0.100
seed    22 vw1 0.5861 vw0 0.1445 L1 0.5472 H0 0.5129 t1 3.4495e-03 t0 inf life 3.4495e-03 t0park inf lifepark 3.4495e-03  rbl 1.177 1.159 1.127 1.076 0.997 0.896 0.775 0.629 0.483 0.371 0.280 0.199 0.134 0.105 0.100 0.100 0.100 0.100 0.100
seed    23 vw1 0.6588 vw0 0.1782 L1 0.528 H0 0.4911 t1 1.0126e-02 t0 inf life 1.0126e-02 t0park inf lifepark 1.0126e-02  rbl 1.159 1.131 1.085 1.013 0.912 0.791 0.650 0.513 0.407 0.319 0.241 0.169 0.118 0.102 0.100 0.100 0.100 0.100 0.100
seed    24 vw1 0.5873 vw0 0.1464 L1 0.5795 H0 0.5444 t1 2.1568e-05 t0 inf life 2.1568e-05 t0park inf lifepark 2.1568e-05  rbl 1.190 1.181 1.166 1.139 1.094 1.022 0.923 0.808 0.669 0.521 0.404 0.310 0.227 0.155 0.112 0.101 0.100 0.100 0.100
seed    25 vw1 0.5714 vw0 0.1413 L1 0.6035 H0 0.5687 t1 0.0000e+00 t0 inf life 0.0000e+00 t0park inf lifepark 0.0000e+00  rbl 1.196 1.192 1.183 1.168 1.143 1.100 1.028 0.924 0.805 0.664 0.516 0.400 0.308 0.227 0.156 0.112 0.101 0.100 0.100
seed    26 vw1 0.5776 vw0 0.1437 L1 0.548 H0 0.514 t1 2.7068e-03 t0 inf life 2.7068e-03 t0park inf lifepark 2.7068e-03  rbl 1.177 1.159 1.129 1.078 1.001 0.901 0.781 0.636 0.488 0.374 0.282 0.202 0.136 0.106 0.100 0.100 0.100 0.100 0.100
seed    27 vw1 0.6058 vw0 0.1513 L1 0.5496 H0 0.5147 t1 4.6837e-03 t0 inf life 4.6837e-03 t0park inf lifepark 4.6837e-03  rbl 1.178 1.160 1.130 1.081 1.004 0.904 0.784 0.641 0.498 0.386 0.295 0.215 0.146 0.109 0.101 0.100 0.100 0.100 0.100
seed    28 vw1 0.6509 vw0 0.1790 L1 0.5892 H0 0.5535 t1 4.1229e-03 t0 inf life 4.1229e-03 t0park inf lifepark 4.1229e-03  rbl 1.193 1.185 1.172 1.149 1.112 1.049 0.957 0.849 0.720 0.573 0.445 0.344 0.259 0.182 0.125 0.104 0.100 0.100 0.100
seed    29 vw1 0.6100 vw0 0.1549 L1 0.5714 H0 0.5361 t1 2.9577e-03 t0 inf life 2.9577e-03 t0park inf lifepark 2.9577e-03  rbl 1.187 1.176 1.157 1.126 1.073 0.991 0.886 0.764 0.619 0.480 0.373 0.284 0.204 0.138 0.106 0.101 0.100 0.100 0.100
seed    30 vw1 0.6173 vw0 0.1628 L1 0.5779 H0 0.5441 t1 2.9590e-03 t0 inf life 2.9590e-03 t0park inf lifepark 2.9590e-03  rbl 1.191 1.182 1.166 1.140 1.095 1.021 0.923 0.807 0.667 0.514 0.392 0.297 0.214 0.145 0.108 0.101 0.100 0.100 0.100
seed    31 vw1 0.6112 vw0 0.1588 L1 0.5485 H0 0.5134 t1 5.2297e-03 t0 inf life 5.2297e-03 t0park inf lifepark 5.2297e-03  rbl 1.176 1.158 1.127 1.077 0.998 0.897 0.777 0.633 0.491 0.382 0.292 0.212 0.144 0.108 0.101 0.100 0.100 0.100 0.100
seed    32 vw1 0.6538 vw0 0.1766 L1 0.5543 H0 0.5208 t1 7.1003e-03 t0 inf life 7.1003e-03 t0park inf lifepark 7.1003e-03  rbl 1.181 1.165 1.138 1.092 1.020 0.927 0.814 0.677 0.522 0.394 0.294 0.210 0.140 0.107 0.101 0.100 0.100 0.100 0.100
seed    33 vw1 0.6203 vw0 0.1623 L1 0.5647 H0 0.5295 t1 4.2663e-03 t0 inf life 4.2663e-03 t0park inf lifepark 4.2663e-03  rbl 1.185 1.172 1.149 1.112 1.050 0.962 0.855 0.727 0.578 0.445 0.343 0.256 0.179 0.122 0.103 0.100 0.100 0.100 0.100
seed    34 vw1 0.6255 vw0 0.1627 L1 0.5627 H0 0.5293 t1 4.6877e-03 t0 inf life 4.6877e-03 t0park inf lifepark 4.6877e-03  rbl 1.185 1.172 1.148 1.109 1.045 0.960 0.855 0.726 0.574 0.428 0.317 0.225 0.149 0.109 0.101 0.100 0.100 0.100 0.100
