# 2026-09-25T11:19:00+08:00 run mc-ls-ff85: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.1 --env SCAN=0.15:0.60:0.025   (commit 530b0ea)
mc: mos_ff_mismatch 85C VLO=0.3 VBAR=0.1 sense 10.0 ns, seeds 1..200, scan [0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6], TSTOP 50m
seed    18 vw1 0.8343 vw0 0.1971 L1 0.3413 H0 0.2901 t1 1.3023e-03 t0 2.3576e-04 life 2.3576e-04 t0park inf lifepark 1.3023e-03  rbl 1.117 1.082 1.032 0.965 0.877 0.769 0.655 0.556 0.470 0.393 0.321 0.253 0.189 0.136 0.108 0.101 0.100 0.100 0.100
seed    19 vw1 0.8315 vw0 0.1977 L1 0.3007 H0 0.2495 t1 1.5672e-03 t0 4.1230e-05 life 4.1230e-05 t0park 1.0324e-04 lifepark 1.0324e-04  rbl 1.054 0.995 0.915 0.813 0.698 0.592 0.502 0.422 0.349 0.279 0.213 0.154 0.115 0.102 0.100 0.100 0.100 0.100 0.100
seed    20 vw1 0.8673 vw0 0.1973 L1 0.324 H0 0.2713 t1 1.0413e-03 t0 3.8359e-05 life 3.8359e-05 t0park 1.1475e-04 lifepark 1.1475e-04  rbl 1.091 1.046 0.984 0.901 0.797 0.683 0.583 0.496 0.419 0.347 0.279 0.215 0.156 0.117 0.103 0.100 0.100 0.100 0.100
seed    21 vw1 0.8323 vw0 0.1961 L1 0.3497 H0 0.3016 t1 1.2356e-03 t0 3.5827e-04 life 3.5827e-04 t0park inf lifepark 1.2356e-03  rbl 1.133 1.103 1.061 1.003 0.924 0.824 0.707 0.594 0.499 0.416 0.341 0.270 0.204 0.146 0.112 0.102 0.100 0.100 0.100
seed    22 vw1 0.8132 vw0 0.1935 L1 0.3288 H0 0.2767 t1 1.4643e-03 t0 1.9571e-04 life 1.9571e-04 t0park inf lifepark 1.4643e-03  rbl 1.102 1.059 1.001 0.922 0.822 0.707 0.602 0.512 0.432 0.358 0.289 0.222 0.162 0.119 0.103 0.100 0.100 0.100 0.100
seed    23 vw1 0.8773 vw0 0.1976 L1 0.3152 H0 0.2582 t1 9.9328e-04 t0 1.9709e-05 life 1.9709e-05 t0park 4.9718e-05 lifepark 4.9718e-05  rbl 1.066 1.011 0.936 0.841 0.732 0.634 0.547 0.470 0.398 0.329 0.263 0.201 0.145 0.112 0.102 0.100 0.100 0.100 0.100
seed    24 vw1 0.8188 vw0 0.1899 L1 0.3623 H0 0.3087 t1 1.1956e-03 t0 8.4647e-04 life 8.4647e-04 t0park inf lifepark 1.1956e-03  rbl 1.138 1.111 1.071 1.017 0.943 0.848 0.737 0.631 0.540 0.459 0.384 0.314 0.247 0.183 0.132 0.107 0.101 0.100 0.100
seed    25 vw1 0.8074 vw0 0.1882 L1 0.3876 H0 0.334 t1 1.1023e-03 t0 inf life 1.1023e-03 t0park inf lifepark 1.1023e-03  rbl 1.159 1.140 1.112 1.074 1.019 0.946 0.850 0.738 0.632 0.541 0.460 0.386 0.316 0.250 0.187 0.135 0.108 0.101 0.100
seed    26 vw1 0.8081 vw0 0.1965 L1 0.3297 H0 0.278 t1 1.5656e-03 t0 3.2413e-04 life 3.2413e-04 t0park inf lifepark 1.5656e-03  rbl 1.103 1.061 1.004 0.926 0.827 0.713 0.606 0.515 0.435 0.361 0.291 0.225 0.165 0.121 0.104 0.100 0.100 0.100 0.100
seed    27 vw1 0.8280 vw0 0.1904 L1 0.334 H0 0.2803 t1 1.2858e-03 t0 1.3400e-04 life 1.3400e-04 t0park inf lifepark 1.2858e-03  rbl 1.104 1.064 1.008 0.932 0.834 0.722 0.618 0.529 0.449 0.375 0.306 0.240 0.177 0.128 0.106 0.101 0.100 0.100 0.100
seed    28 vw1 0.8762 vw0 0.1962 L1 0.3718 H0 0.3176 t1 7.8015e-04 t0 1.5135e-04 life 1.5135e-04 t0park inf lifepark 7.8015e-04  rbl 1.145 1.120 1.085 1.036 0.970 0.883 0.777 0.668 0.573 0.489 0.414 0.343 0.275 0.210 0.153 0.115 0.103 0.100 0.100
seed    29 vw1 0.8343 vw0 0.1900 L1 0.355 H0 0.301 t1 1.1210e-03 t0 2.4520e-04 life 2.4520e-04 t0park inf lifepark 1.1210e-03  rbl 1.130 1.099 1.055 0.996 0.916 0.815 0.704 0.603 0.516 0.437 0.365 0.296 0.230 0.168 0.123 0.104 0.100 0.100 0.100
seed    30 vw1 0.8442 vw0 0.1955 L1 0.3589 H0 0.3077 t1 1.1323e-03 t0 3.4597e-04 life 3.4597e-04 t0park inf lifepark 1.1323e-03  rbl 1.137 1.110 1.071 1.016 0.943 0.847 0.734 0.623 0.529 0.447 0.373 0.303 0.236 0.175 0.127 0.105 0.101 0.100 0.100
seed    31 vw1 0.8370 vw0 0.1982 L1 0.3319 H0 0.2779 t1 1.3749e-03 t0 1.4688e-04 life 1.4688e-04 t0park inf lifepark 1.3749e-03  rbl 1.100 1.058 1.000 0.923 0.824 0.712 0.610 0.522 0.443 0.371 0.302 0.236 0.175 0.127 0.105 0.101 0.100 0.100 0.100
seed    32 vw1 0.8733 vw0 0.1978 L1 0.3328 H0 0.283 t1 9.4288e-04 t0 5.1595e-05 life 5.1595e-05 t0park 2.2319e-04 lifepark 2.2319e-04  rbl 1.110 1.072 1.018 0.945 0.850 0.736 0.623 0.526 0.442 0.366 0.295 0.228 0.166 0.122 0.104 0.100 0.100 0.100 0.100
seed    33 vw1 0.8457 vw0 0.1950 L1 0.3461 H0 0.293 t1 1.1650e-03 t0 1.7297e-04 life 1.7297e-04 t0park inf lifepark 1.1650e-03  rbl 1.121 1.086 1.038 0.973 0.886 0.780 0.669 0.571 0.487 0.410 0.338 0.270 0.205 0.148 0.113 0.102 0.100 0.100 0.100
seed    34 vw1 0.8482 vw0 0.1942 L1 0.3388 H0 0.2904 t1 1.1778e-03 t0 1.5046e-04 life 1.5046e-04 t0park inf lifepark 1.1778e-03  rbl 1.121 1.086 1.037 0.970 0.882 0.773 0.655 0.549 0.460 0.380 0.306 0.237 0.173 0.125 0.105 0.101 0.100 0.100 0.100
seed    35 vw1 0.8762 vw0 0.1951 L1 0.3791 H0 0.3255 t1 7.6345e-04 t0 2.0360e-04 life 2.0360e-04 t0park inf lifepark 7.6345e-04  rbl 1.152 1.130 1.099 1.056 0.996 0.916 0.815 0.702 0.600 0.513 0.435 0.363 0.295 0.229 0.169 0.124 0.105 0.101 0.100
seed    36 vw1 0.8894 vw0 0.1929 L1 0.3482 H0 0.2937 t1 6.8346e-04 t0 4.1701e-05 life 4.1701e-05 t0park inf lifepark 6.8346e-04  rbl 1.121 1.087 1.039 0.974 0.887 0.781 0.672 0.577 0.494 0.418 0.347 0.279 0.214 0.155 0.116 0.103 0.100 0.100 0.100
seed    37 vw1 0.8326 vw0 0.1880 L1 0.347 H0 0.2991 t1 1.0908e-03 t0 1.8351e-04 life 1.8351e-04 t0park inf lifepark 1.0908e-03  rbl 1.131 1.101 1.057 0.996 0.915 0.814 0.696 0.584 0.489 0.406 0.330 0.258 0.192 0.137 0.108 0.101 0.100 0.100 0.100
seed    38 vw1 0.8242 vw0 0.1906 L1 0.3587 H0 0.3099 t1 1.1894e-03 t0 6.5410e-04 life 6.5410e-04 t0park inf lifepark 1.1894e-03  rbl 1.140 1.114 1.076 1.023 0.951 0.858 0.746 0.630 0.530 0.444 0.366 0.294 0.226 0.164 0.121 0.104 0.100 0.100 0.100
seed    39 vw1 0.8259 vw0 0.1950 L1 0.3137 H0 0.2617 t1 1.5199e-03 t0 9.0050e-05 life 9.0050e-05 t0park 2.6736e-04 lifepark 2.6736e-04  rbl 1.075 1.024 0.953 0.862 0.752 0.641 0.546 0.462 0.386 0.314 0.246 0.182 0.131 0.107 0.101 0.100 0.100 0.100 0.100
seed    40 vw1 0.8441 vw0 0.1943 L1 0.3515 H0 0.3016 t1 1.1275e-03 t0 2.3366e-04 life 2.3366e-04 t0park inf lifepark 1.1275e-03  rbl 1.131 1.101 1.059 1.000 0.921 0.822 0.707 0.598 0.505 0.423 0.349 0.279 0.212 0.153 0.115 0.102 0.100 0.100 0.100
seed    41 vw1 0.8146 vw0 0.1943 L1 0.3253 H0 0.2736 t1 1.4796e-03 t0 1.6963e-04 life 1.6963e-04 t0park inf lifepark 1.4796e-03  rbl 1.096 1.052 0.991 0.910 0.808 0.694 0.590 0.501 0.422 0.348 0.279 0.213 0.154 0.115 0.102 0.100 0.100 0.100 0.100
seed    42 vw1 0.8648 vw0 0.1944 L1 0.3174 H0 0.2648 t1 1.1113e-03 t0 3.5018e-05 life 3.5018e-05 t0park 9.6459e-05 lifepark 9.6459e-05  rbl 1.082 1.033 0.965 0.875 0.766 0.655 0.558 0.475 0.398 0.327 0.259 0.195 0.140 0.109 0.101 0.100 0.100 0.100 0.100
