# 2026-09-25T11:19:00+08:00 run mc-ls-tt85: mc.py  --env CORNER=mos_tt --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.1 --env SCAN=0.15:0.60:0.025   (commit 530b0ea)
mc: mos_tt_mismatch 85C VLO=0.3 VBAR=0.1 sense 10.0 ns, seeds 1..200, scan [0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6], TSTOP 50m
seed    18 vw1 0.7591 vw0 0.1919 L1 0.4269 H0 0.383 t1 3.2143e-03 t0 inf life 3.2143e-03 t0park inf lifepark 3.2143e-03  rbl 1.183 1.175 1.162 1.143 1.116 1.076 1.020 0.946 0.852 0.739 0.616 0.507 0.416 0.335 0.261 0.193 0.137 0.108 0.101
seed    19 vw1 0.7577 vw0 0.1899 L1 0.3866 H0 0.342 t1 3.8367e-03 t0 inf life 3.8367e-03 t0park inf lifepark 3.8367e-03  rbl 1.167 1.151 1.127 1.093 1.045 0.978 0.891 0.784 0.661 0.545 0.448 0.364 0.289 0.218 0.156 0.115 0.102 0.100 0.100
seed    20 vw1 0.7929 vw0 0.1950 L1 0.4089 H0 0.3634 t1 3.2119e-03 t0 inf life 3.2119e-03 t0park inf lifepark 3.2119e-03  rbl 1.176 1.165 1.147 1.122 1.086 1.035 0.966 0.876 0.766 0.643 0.533 0.441 0.360 0.286 0.218 0.156 0.116 0.103 0.100
seed    21 vw1 0.7574 vw0 0.1911 L1 0.4372 H0 0.3949 t1 3.0297e-03 t0 inf life 3.0297e-03 t0park inf lifepark 3.0297e-03  rbl 1.187 1.181 1.171 1.155 1.133 1.100 1.052 0.987 0.903 0.798 0.675 0.551 0.447 0.359 0.281 0.210 0.148 0.112 0.102
seed    22 vw1 0.7386 vw0 0.1853 L1 0.4143 H0 0.3691 t1 3.4328e-03 t0 inf life 3.4328e-03 t0park inf lifepark 3.4328e-03  rbl 1.180 1.169 1.154 1.131 1.098 1.051 0.985 0.899 0.794 0.671 0.555 0.458 0.375 0.299 0.228 0.164 0.119 0.103 0.100
seed    23 vw1 0.8032 vw0 0.1955 L1 0.3979 H0 0.3485 t1 3.2218e-03 t0 inf life 3.2218e-03 t0park inf lifepark 3.2218e-03  rbl 1.169 1.154 1.132 1.101 1.057 0.995 0.913 0.810 0.693 0.584 0.492 0.412 0.337 0.268 0.202 0.145 0.111 0.102 0.100
seed    24 vw1 0.7439 vw0 0.1847 L1 0.4469 H0 0.4008 t1 2.8393e-03 t0 inf life 2.8393e-03 t0park inf lifepark 2.8393e-03  rbl 1.188 1.182 1.173 1.159 1.138 1.108 1.064 1.003 0.922 0.822 0.704 0.587 0.488 0.403 0.325 0.253 0.187 0.133 0.107
seed    25 vw1 0.7323 vw0 0.1819 L1 0.4716 H0 0.4256 t1 2.4627e-03 t0 inf life 2.4627e-03 t0park inf lifepark 2.4627e-03  rbl 1.192 1.188 1.182 1.174 1.160 1.140 1.110 1.066 1.005 0.923 0.822 0.703 0.585 0.487 0.402 0.326 0.255 0.189 0.135
seed    26 vw1 0.7324 vw0 0.1872 L1 0.4152 H0 0.3704 t1 3.5148e-03 t0 inf life 3.5148e-03 t0park inf lifepark 3.5148e-03  rbl 1.179 1.169 1.154 1.132 1.099 1.053 0.988 0.904 0.799 0.677 0.560 0.462 0.377 0.301 0.231 0.166 0.121 0.104 0.100
seed    27 vw1 0.7545 vw0 0.1849 L1 0.4182 H0 0.3717 t1 3.2686e-03 t0 inf life 3.2686e-03 t0park inf lifepark 3.2686e-03  rbl 1.180 1.170 1.155 1.133 1.100 1.055 0.991 0.908 0.804 0.684 0.570 0.474 0.391 0.315 0.244 0.179 0.128 0.106 0.101
seed    28 vw1 0.8011 vw0 0.1966 L1 0.4568 H0 0.4101 t1 2.4698e-03 t0 inf life 2.4698e-03 t0park inf lifepark 2.4698e-03  rbl 1.189 1.184 1.176 1.164 1.146 1.119 1.080 1.025 0.952 0.859 0.748 0.629 0.524 0.435 0.356 0.283 0.215 0.154 0.115
seed    29 vw1 0.7606 vw0 0.1860 L1 0.4396 H0 0.3928 t1 2.8964e-03 t0 inf life 2.8964e-03 t0park inf lifepark 2.8964e-03  rbl 1.185 1.178 1.168 1.152 1.129 1.094 1.046 0.979 0.892 0.786 0.666 0.555 0.461 0.379 0.304 0.234 0.170 0.123 0.104
seed    30 vw1 0.7694 vw0 0.1927 L1 0.4442 H0 0.4001 t1 2.9296e-03 t0 inf life 2.9296e-03 t0park inf lifepark 2.9296e-03  rbl 1.188 1.182 1.172 1.159 1.138 1.108 1.064 1.002 0.921 0.820 0.700 0.578 0.476 0.390 0.313 0.242 0.176 0.126 0.105
seed    31 vw1 0.7619 vw0 0.1931 L1 0.4164 H0 0.3697 t1 3.4317e-03 t0 inf life 3.4317e-03 t0park inf lifepark 3.4317e-03  rbl 1.178 1.168 1.152 1.129 1.096 1.049 0.984 0.899 0.795 0.675 0.562 0.468 0.386 0.311 0.241 0.176 0.127 0.105 0.101
seed    32 vw1 0.7992 vw0 0.1959 L1 0.4193 H0 0.3762 t1 2.9409e-03 t0 inf life 2.9409e-03 t0park inf lifepark 2.9409e-03  rbl 1.182 1.173 1.159 1.138 1.108 1.065 1.004 0.925 0.825 0.706 0.581 0.476 0.387 0.308 0.235 0.169 0.122 0.104 0.100
seed    33 vw1 0.7705 vw0 0.1918 L1 0.4312 H0 0.3854 t1 3.0650e-03 t0 inf life 3.0650e-03 t0park inf lifepark 3.0650e-03  rbl 1.184 1.176 1.164 1.146 1.120 1.081 1.027 0.955 0.862 0.751 0.629 0.522 0.432 0.352 0.279 0.210 0.149 0.113 0.102
seed    34 vw1 0.7735 vw0 0.1908 L1 0.4257 H0 0.3841 t1 3.0885e-03 t0 inf life 3.0885e-03 t0park inf lifepark 3.0885e-03  rbl 1.185 1.177 1.164 1.146 1.120 1.081 1.026 0.952 0.859 0.746 0.619 0.503 0.407 0.323 0.247 0.178 0.126 0.105 0.101
seed    35 vw1 0.8013 vw0 0.1957 L1 0.464 H0 0.4178 t1 2.3985e-03 t0 inf life 2.3985e-03 t0park inf lifepark 2.3985e-03  rbl 1.191 1.186 1.180 1.169 1.153 1.130 1.096 1.047 0.979 0.892 0.786 0.665 0.553 0.459 0.377 0.303 0.233 0.170 0.123
seed    36 vw1 0.8159 vw0 0.1930 L1 0.4327 H0 0.3856 t1 2.4304e-03 t0 inf life 2.4304e-03 t0park inf lifepark 2.4304e-03  rbl 1.184 1.176 1.164 1.146 1.119 1.081 1.028 0.955 0.862 0.751 0.631 0.527 0.439 0.360 0.287 0.218 0.156 0.116 0.103
seed    37 vw1 0.7596 vw0 0.1835 L1 0.4346 H0 0.3925 t1 2.8516e-03 t0 inf life 2.8516e-03 t0park inf lifepark 2.8516e-03  rbl 1.187 1.180 1.170 1.154 1.131 1.096 1.047 0.979 0.893 0.787 0.663 0.539 0.436 0.349 0.270 0.198 0.139 0.109 0.101
seed    38 vw1 0.7498 vw0 0.1856 L1 0.4453 H0 0.403 t1 2.8593e-03 t0 inf life 2.8593e-03 t0park inf lifepark 2.8593e-03  rbl 1.189 1.183 1.174 1.161 1.141 1.111 1.069 1.009 0.931 0.833 0.715 0.589 0.479 0.388 0.307 0.234 0.167 0.121 0.104
seed    39 vw1 0.7515 vw0 0.1875 L1 0.3989 H0 0.3542 t1 3.6517e-03 t0 inf life 3.6517e-03 t0park inf lifepark 3.6517e-03  rbl 1.172 1.159 1.139 1.110 1.068 1.010 0.933 0.836 0.720 0.599 0.495 0.407 0.327 0.254 0.186 0.132 0.107 0.101 0.100
