# 2026-09-25T11:08:13+08:00 run mc-base-ff85: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=2 --env TSTOP=2m --env SCAN=0.05:0.40:0.025   (commit 162c494)
mc: mos_ff_mismatch 85C VLO=0.0 VBAR=0.0 sense 10.0 ns, seeds 1..200, scan [0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4], TSTOP 2m
seed    22 vw1 0.8144 vw0 -0.0424 L1 0.18 H0 0.1306 t1 2.4665e-06 t0 3.1577e-06 life 2.4665e-06  rbl 1.041 0.964 0.854 0.725 0.612 0.517 0.433 0.356 0.285 0.216 0.149 0.086 0.034 0.008 0.001
seed    23 vw1 0.8783 vw0 -0.0272 L1 0.1734 H0 0.1209 t1 7.0430e-07 t0 5.8607e-07 life 5.8607e-07  rbl 1.020 0.929 0.804 0.679 0.580 0.495 0.417 0.345 0.276 0.209 0.145 0.083 0.032 0.007 0.001
seed    24 vw1 0.8202 vw0 -0.0403 L1 0.2143 H0 0.1644 t1 1.9087e-06 t0 7.0275e-06 life 1.9087e-06  rbl 1.118 1.077 1.013 0.911 0.772 0.647 0.549 0.463 0.385 0.312 0.243 0.176 0.111 0.053 0.015
seed    25 vw1 0.8090 vw0 -0.0443 L1 0.2389 H0 0.1907 t1 2.2648e-06 t0 1.8288e-05 life 2.2648e-06  rbl 1.151 1.128 1.092 1.033 0.936 0.788 0.648 0.547 0.462 0.385 0.313 0.244 0.178 0.114 0.056
seed    26 vw1 0.8094 vw0 -0.0432 L1 0.1803 H0 0.1313 t1 3.1645e-06 t0 4.3669e-06 life 3.1645e-06  rbl 1.043 0.967 0.858 0.729 0.614 0.518 0.434 0.357 0.285 0.217 0.151 0.088 0.036 0.008 0.001
seed    27 vw1 0.8292 vw0 -0.0394 L1 0.1865 H0 0.1363 t1 1.6565e-06 t0 2.4442e-06 life 1.6565e-06  rbl 1.060 0.989 0.885 0.753 0.635 0.539 0.454 0.378 0.305 0.237 0.170 0.106 0.049 0.013 0.002
seed    28 vw1 0.8773 vw0 -0.0261 L1 0.2295 H0 0.1776 t1 5.5025e-07 t0 2.6828e-06 life 5.5025e-07  rbl 1.133 1.102 1.051 0.970 0.847 0.711 0.604 0.514 0.434 0.359 0.289 0.221 0.155 0.092 0.039
seed    29 vw1 0.8356 vw0 -0.0378 L1 0.208 H0 0.1578 t1 1.4276e-06 t0 3.8203e-06 life 1.4276e-06  rbl 1.108 1.061 0.988 0.876 0.736 0.620 0.527 0.444 0.368 0.296 0.228 0.161 0.098 0.043 0.011
seed    30 vw1 0.8456 vw0 -0.0341 L1 0.2111 H0 0.1626 t1 1.3728e-06 t0 4.1603e-06 life 1.3728e-06  rbl 1.111 1.068 1.001 0.898 0.763 0.638 0.538 0.452 0.374 0.302 0.233 0.167 0.104 0.047 0.013
seed    31 vw1 0.8383 vw0 -0.0356 L1 0.1839 H0 0.1336 t1 1.7865e-06 t0 2.5532e-06 life 1.7865e-06  rbl 1.053 0.980 0.873 0.740 0.624 0.530 0.447 0.371 0.300 0.232 0.166 0.102 0.046 0.012 0.002
