kernel,loc,width,value,t_def,t_last
vfir2,L42.w5,32,2647186248,135253,138422
vfir2,L42.w6,32,1151641846,135293,138462
vfir2,L42.w7,32,3319941228,135333,138502
vfir2,L42.w8,32,3914337993,135373,138542
vfir2,L42.w9,32,2060579930,135413,138582
vfir2,L42.w10,32,1329563511,135453,138622
vfir2,L42.w11,32,1302649579,135493,138662
vfir2,L42.w12,32,4111837219,135533,138702
vfir2,L42.w13,32,3432790748,135573,138742
vfir2,L42.w14,32,3033130837,135613,138782
vfir2,L42.w15,32,3569409192,135653,138822
vfir2,L42.w16,32,2165732166,135693,138862
vfir2,L42.w17,32,2414582090,135733,138902
vfir2,L42.w18,32,2223709687,135773,138942
vfir2,L42.w19,32,2179080415,135813,138982
vfir2,L42.w20,32,2797803548,135853,139022
vfir2,L42.w21,32,2644876148,135893,139062
vfir2,L42.w22,32,2525203318,135933,139102
vfir2,L42.w23,32,1746636632,135973,139142
vfir2,L42.w24,32,1339361182,136013,139182
vfir2,L42.w25,32,3139319916,136053,139222
vfir2,L42.w26,32,892573556,136093,139262
vfir2,L42.w27,32,2099837236,136133,139302
vfir2,L42.w28,32,2198557946,136173,139342
vfir2,L42.w29,32,1574527462,136213,139382
vfir2,L42.w30,32,4012162402,136253,139422
vfir2,L42.w31,32,2938753301,136293,139462
vfir2,L42.w32,32,2676903136,136333,139502
vfir2,L42.w33,32,3788459864,136373,139542
vfir2,L42.w34,32,323734739,136413,139582
vfir2,L42.w35,32,3368456297,136453,139622
vfir2,L42.w36,32,3523591164,136493,139662
vfir2,L42.w37,32,1466554885,136533,139702
vfir2,L42.w38,32,3117928479,136573,139742
vfir2,L42.w39,32,36171447,136613,139782
vfir2,L42.w40,32,3898342621,136653,139822
vfir2,L42.w41,32,3500653828,136693,139862
vfir2,L42.w42,32,822068462,136733,139902
vfir2,L42.w43,32,4282377002,136773,139942
vfir2,L42.w44,32,3198817447,136813,139982
vfir2,L42.w45,32,455940514,136853,140022
vfir2,L42.w46,32,252367528,136893,140062
vfir2,L42.w47,32,2467093459,136933,140102
vfir2,L42.w48,32,2804226800,136973,140142
vfir2,L42.w49,32,210067423,137013,140182
vfir2,L42.w50,32,1172954418,137053,140222
vfir2,L42.w51,32,2541333535,137093,140262
vfir2,L42.w52,32,973310576,137133,140302
vfir2,L42.w53,32,2931219244,137173,140342
vfir2,L42.w54,32,3760205946,137213,140382
vfir2,L42.w55,32,3933507001,137253,140422
vfir2,L42.w56,32,456408914,137293,140462
vfir2,L42.w57,32,3239993566,137333,140502
vfir2,L42.w58,32,2243530591,137373,140542
vfir2,L42.w59,32,586262577,137413,140582
vfir2,L42.w60,32,3667657306,137453,140622
vfir2,L42.w61,32,1141779279,137493,140662
vfir2,L42.w62,32,1051545342,137533,140702
vfir2,L42.w63,32,3542263605,137573,140742
vfir2,L43.w0,32,904000145,138253,141422
vfir2,L43.w1,32,4052649368,138293,141462
vfir2,L43.w2,32,3782069874,138333,141502
vfir2,L43.w3,32,259350834,138373,141542
vfir2,L43.w4,32,1816417465,138413,141582
vfir2,L43.w5,32,3856742626,138453,141622
vfir2,L43.w6,32,3079324466,138493,141662
vfir2,L43.w7,32,3261637134,138533,141702
vfir2,L43.w8,32,136893801,138573,141742
vfir2,L43.w9,32,243938737,138613,141782
vfir2,L43.w10,32,1556311079,138653,141822
vfir2,L43.w11,32,1547126598,138693,141862
vfir2,L43.w12,32,738223255,138733,141902
vfir2,L43.w13,32,1071601613,138773,141942
vfir2,L43.w14,32,2889505574,138813,141982
vfir2,L43.w15,32,100685599,138853,142022
vfir2,L43.w16,32,356066432,138893,142062
vfir2,L43.w17,32,494879349,138933,142102
vfir2,L43.w18,32,4099813280,138973,142142
vfir2,L43.w19,32,289766812,139013,142182
vfir2,L43.w20,32,108854731,139053,142222
vfir2,L43.w21,32,175554966,139093,142262
vfir2,L43.w22,32,3132850107,139133,142302
