kernel,loc,width,value,t_def,t_last
linebuf,L40.w0,32,3639700191,111576,128000
linebuf,L40.w1,32,3445702192,111736,128000
linebuf,L40.w2,32,3280387012,111896,128000
linebuf,L40.w3,32,271041745,112056,128000
linebuf,L40.w4,32,1095513148,112216,128000
linebuf,L40.w5,32,506456969,112376,128000
linebuf,L40.w6,32,2127877499,112536,128000
linebuf,L40.w7,32,3268308804,112696,128000
linebuf,L40.w8,32,1930549411,112856,128000
linebuf,L40.w9,32,2028277857,113016,128000
linebuf,L40.w10,32,2798570523,113176,128000
linebuf,L40.w11,32,1630434966,113336,128000
linebuf,L41.w0,32,3387541014,113496,131200
linebuf,L41.w1,32,901749037,113656,131200
linebuf,L41.w2,32,403123852,113816,131200
linebuf,L41.w3,32,2095328386,113976,131200
linebuf,L41.w4,32,121751464,114136,131200
linebuf,L41.w5,32,3836767462,114296,131200
linebuf,L41.w6,32,3589583794,114456,131200
linebuf,L41.w7,32,1674216077,114616,131200
linebuf,L41.w8,32,1858720390,114776,131200
linebuf,L41.w9,32,2608926326,114936,131200
linebuf,L41.w10,32,3273968005,115096,131200
linebuf,L41.w11,32,3294916953,115256,131200
linebuf,L42.w0,32,9045414,115416,134400
linebuf,L42.w1,32,2988579416,115576,134400
linebuf,L42.w2,32,1912923437,115736,134400
linebuf,L42.w3,32,1143881027,115896,134400
linebuf,L42.w4,32,3098990846,116056,134400
linebuf,L42.w5,32,3443818037,116216,134400
linebuf,L42.w6,32,982526257,116376,134400
linebuf,L42.w7,32,2538984641,116536,134400
linebuf,L42.w8,32,4059906722,116696,134400
linebuf,L42.w9,32,439062303,116856,134400
linebuf,L42.w10,32,3871601465,117016,134400
linebuf,L42.w11,32,1363349907,117176,134400
linebuf,L43.w0,32,131383004,117336,137600
linebuf,L43.w1,32,95872739,117496,137600
linebuf,L43.w2,32,109289145,117656,137600
linebuf,L43.w3,32,2789779421,117816,137600
linebuf,L43.w4,32,2325348894,117976,137600
linebuf,L43.w5,32,39534911,118136,137600
linebuf,L43.w6,32,4033614922,118296,137600
linebuf,L43.w7,32,3784870617,118456,137600
linebuf,L43.w8,32,1637259727,118616,137600
linebuf,L43.w9,32,2948425721,118776,137600
linebuf,L43.w10,32,930287327,118936,137600
linebuf,L43.w11,32,4161997890,119096,137600
linebuf,L44.w0,32,1812976885,119256,140800
linebuf,L44.w1,32,3117513184,119416,140800
linebuf,L44.w2,32,124729223,119576,140800
linebuf,L44.w3,32,2266151100,119736,140800
linebuf,L44.w4,32,952158461,119896,140800
linebuf,L44.w5,32,3280070799,120056,140800
linebuf,L44.w6,32,1880712864,120216,140800
linebuf,L44.w7,32,4033691631,120376,140800
linebuf,L44.w8,32,2129497364,120536,140800
linebuf,L44.w9,32,2374513802,120696,140800
linebuf,L44.w10,32,1001090105,120856,140800
linebuf,L44.w11,32,1484771968,121016,140800
linebuf,L45.w0,32,939657385,126611,144000
linebuf,L45.w1,32,3268245658,126771,144000
linebuf,L45.w2,32,1973981844,126931,144000
linebuf,L45.w3,32,4089858807,127091,144000
linebuf,L45.w4,32,1244602538,127251,144000
linebuf,L45.w5,32,3979315673,127411,144000
linebuf,L45.w6,32,92297589,127571,144000
linebuf,L45.w7,32,1787479226,127731,144000
linebuf,L45.w8,32,3597370014,127891,144000
linebuf,L45.w9,32,3935348976,128051,144000
linebuf,L45.w10,32,2389953095,128211,144000
linebuf,L45.w11,32,3960769716,128371,144000
linebuf,L46.w0,32,2758633299,128531,147200
linebuf,L46.w1,32,429497919,128691,147200
linebuf,L46.w2,32,798461319,128851,147200
linebuf,L46.w3,32,2703050138,129011,147200
linebuf,L46.w4,32,4262941488,129171,147200
linebuf,L46.w5,32,3108005869,129331,147200
linebuf,L46.w6,32,3693442237,129491,147200
linebuf,L46.w7,32,1272987056,129651,147200
linebuf,L46.w8,32,519218416,129811,147200
linebuf,L46.w9,32,3191790602,129971,147200
linebuf,L46.w10,32,1428914934,130131,147200
linebuf,L46.w11,32,3846467028,130291,147200
linebuf,L47.w0,32,3098751912,130451,150400
linebuf,L47.w1,32,4180086606,130611,150400
linebuf,L47.w2,32,3054545399,130771,150400
linebuf,L47.w3,32,2150918326,130931,150400
linebuf,L47.w4,32,4021981692,131091,150400
linebuf,L47.w5,32,4154136494,131251,150400
linebuf,L47.w6,32,1812935769,131411,150400
linebuf,L47.w7,32,2180628982,131571,150400
linebuf,L47.w8,32,3564976141,131731,150400
linebuf,L47.w9,32,3909215068,131891,150400
linebuf,L47.w10,32,2878940490,132051,150400
linebuf,L47.w11,32,815398389,132211,150400
linebuf,L48.w0,32,1302957853,132371,153600
linebuf,L48.w1,32,1220455187,132531,153600
linebuf,L48.w2,32,2523639457,132691,153600
linebuf,L48.w3,32,4180941928,132851,153600
linebuf,L48.w4,32,3790218436,133011,153600
linebuf,L48.w5,32,2144743702,133171,153600
linebuf,L48.w6,32,3634390239,133331,153600
linebuf,L48.w7,32,4041192613,133491,153600
linebuf,L48.w8,32,2170177477,133651,153600
linebuf,L48.w9,32,1689440956,133811,153600
linebuf,L48.w10,32,2529745433,133971,153600
linebuf,L48.w11,32,3664843848,134131,153600
linebuf,L49.w0,32,148287319,134291,156800
linebuf,L49.w1,32,2062559164,134451,156800
linebuf,L49.w2,32,1042560227,134611,156800
linebuf,L49.w3,32,3194298828,134771,156800
linebuf,L49.w4,32,3424825176,134931,156800
linebuf,L49.w5,32,1736404157,135091,156800
linebuf,L49.w6,32,1779465077,135251,156800
linebuf,L49.w7,32,2855051695,135411,156800
linebuf,L49.w8,32,743061144,135571,156800
linebuf,L49.w9,32,1576784849,135731,156800
linebuf,L49.w10,32,2357072719,135891,156800
linebuf,L49.w11,32,3791305175,136051,156800
linebuf,L50.w0,32,2896894571,138931,160000
linebuf,L50.w1,32,3170611280,139091,160000
linebuf,L50.w2,32,1609337231,139251,160000
linebuf,L50.w3,32,371375481,139411,160000
linebuf,L50.w4,32,1885325846,139571,160000
linebuf,L50.w5,32,2850818054,139731,160000
linebuf,L50.w6,32,2183675157,139891,160000
linebuf,L50.w7,32,463561237,140051,160000
linebuf,L50.w8,32,3343385571,140211,160000
linebuf,L50.w9,32,703078820,140371,160000
linebuf,L50.w10,32,2237413444,140531,160000
linebuf,L50.w11,32,3607564414,140691,160000
linebuf,L51.w0,32,1689017785,140851,163200
linebuf,L51.w1,32,1591382744,141011,163200
linebuf,L51.w2,32,2103217660,141171,163200
linebuf,L51.w3,32,3147205187,141331,163200
linebuf,L51.w4,32,127023494,141491,163200
linebuf,L51.w5,32,2015714664,141651,163200
linebuf,L51.w6,32,186776492,141811,163200
linebuf,L51.w7,32,1325123798,141971,163200
linebuf,L51.w8,32,3021003068,142131,163200
linebuf,L51.w9,32,3643427490,142291,163200
linebuf,L51.w10,32,4222759099,142451,163200
linebuf,L51.w11,32,2640591909,142611,163200
linebuf,L52.w0,32,2547704717,142771,166400
linebuf,L52.w1,32,2483246605,142931,166400
linebuf,L52.w2,32,1690497763,143091,166400
linebuf,L52.w3,32,2779514584,143251,166400
linebuf,L52.w4,32,731644238,143411,166400
linebuf,L52.w5,32,724106992,143571,166400
linebuf,L52.w6,32,2157098196,143731,166400
linebuf,L52.w7,32,974688455,143891,166400
linebuf,L52.w8,32,4217987067,144051,166400
linebuf,L52.w9,32,52834893,144211,166400
linebuf,L52.w10,32,3309371709,144371,166400
linebuf,L52.w11,32,856916273,144531,166400
linebuf,L53.w0,32,2317639275,144691,169600
linebuf,L53.w1,32,3951741134,144851,169600
linebuf,L53.w2,32,3694916452,145011,169600
linebuf,L53.w3,32,2355095800,145171,169600
linebuf,L53.w4,32,997188871,145331,169600
linebuf,L53.w5,32,1737120419,145491,169600
linebuf,L53.w6,32,2206632489,145651,169600
linebuf,L53.w7,32,1476720930,145811,169600
linebuf,L53.w8,32,4090816273,145971,169600
linebuf,L53.w9,32,3639817240,146131,169600
linebuf,L53.w10,32,2481609806,146291,169600
linebuf,L53.w11,32,1517300986,146451,169600
linebuf,L54.w0,32,1971955755,146611,172800
linebuf,L54.w1,32,3907368033,146771,172800
linebuf,L54.w2,32,1156546539,146931,172800
linebuf,L54.w3,32,2831306050,147091,172800
linebuf,L54.w4,32,2353626216,147251,172800
linebuf,L54.w5,32,2615398091,147411,172800
linebuf,L54.w6,32,4110783109,147571,172800
linebuf,L54.w7,32,3132749951,147731,172800
linebuf,L54.w8,32,24520513,147891,172800
linebuf,L54.w9,32,1647934407,148051,172800
linebuf,L54.w10,32,3365773595,148211,172800
linebuf,L54.w11,32,3680568455,148371,172800
linebuf,L55.w0,32,3806112311,152715,176000
linebuf,L55.w1,32,4030651559,152875,176000
linebuf,L55.w2,32,3180437943,153035,176000
linebuf,L55.w3,32,2201170456,153195,176000
linebuf,L55.w4,32,3475229416,153355,176000
linebuf,L55.w5,32,555122063,153515,176000
linebuf,L55.w6,32,2227706265,153675,176000
linebuf,L55.w7,32,3338895465,153835,176000
linebuf,L55.w8,32,2411013676,153995,176000
linebuf,L55.w9,32,882552464,154155,176000
linebuf,L55.w10,32,1830045531,154315,176000
linebuf,L55.w11,32,4079013207,154475,176000
linebuf,L56.w0,32,241047738,154635,179200
linebuf,L56.w1,32,2066316555,154795,179200
linebuf,L56.w2,32,3736665164,154955,179200
linebuf,L56.w3,32,1566529388,155115,179200
linebuf,L56.w4,32,2448128506,155275,179200
linebuf,L56.w5,32,2381134998,155435,179200
linebuf,L56.w6,32,858303752,155595,179200
linebuf,L56.w7,32,4041622260,155755,179200
linebuf,L56.w8,32,2167757907,155915,179200
linebuf,L56.w9,32,1775539677,156075,179200
linebuf,L56.w10,32,2082737481,156235,179200
linebuf,L56.w11,32,3493318143,156395,179200
linebuf,L57.w0,32,1532401219,156555,182400
linebuf,L57.w1,32,1779939759,156715,182400
linebuf,L57.w2,32,1486393352,156875,182400
linebuf,L57.w3,32,6806440,157035,182400
linebuf,L57.w4,32,2312748802,157195,182400
linebuf,L57.w5,32,2319752894,157355,182400
linebuf,L57.w6,32,2677866793,157515,182400
linebuf,L57.w7,32,3377752899,157675,182400
linebuf,L57.w8,32,2630463310,157835,182400
