2026-09-25 05:08:11 +0000: Memory Usage (415016K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/in.gds
2026-09-25 05:08:11 +0000: Memory Usage (415016K) : Ruby Version for klayout: 3.3.8
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : Loading database to memory is complete.
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : IHP-SG13G2 KLayout DRC runset output at: /work/report.lyrdb
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : Evaluate switches.
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : tables selected: main
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : deep mode is enabled.
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : FEOL enabled: true
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : BEOL enabled: true
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : OFFGRID enabled: true
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : ANGLE enabled: true
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : PIN enabled: true
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : FORBIDDEN enabled: true
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : RECOMMENDED enabled: true
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : PreCheck DRC enabled: false
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : Read in polygons from layers.
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : activ_drw has 180 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : activ_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : activ_mask has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : activ_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : activ_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : activ_opc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : activ_iopc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : activ_noqrc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : biwind_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : biwind_opc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : pemwind_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : gatpoly_drw has 136 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : gatpoly_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : gatpoly_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : gatpoly_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : gatpoly_opc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : gatpoly_iopc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : gatpoly_noqrc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : cont_drw has 116 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : cont_opc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : nsd_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : nsd_block has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal1_drw has 116 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal1_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal1_mask has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal1_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal1_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal1_slit has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal1_text has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal1_opc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal1_noqrc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal1_res has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal1_iprobe has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal1_diffprb has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : passiv_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : passiv_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : passiv_sbump has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : passiv_pillar has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : passiv_pdl has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal2_drw has 52 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal2_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal2_mask has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal2_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal2_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal2_slit has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal2_text has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal2_opc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416664K) : metal2_noqrc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416920K) : metal2_res has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416920K) : metal2_iprobe has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416920K) : metal2_diffprb has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416920K) : baspoly_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416920K) : baspoly_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416920K) : psd_drw has 4 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416920K) : nldb_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (416920K) : digibnd_drw has 1 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417176K) : via1_drw has 52 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417176K) : backmetal1_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417176K) : backmetal1_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417176K) : backmetal1_mask has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417176K) : backmetal1_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417432K) : backmetal1_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417432K) : backmetal1_slit has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417432K) : backmetal1_text has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417432K) : backmetal1_opc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417432K) : backmetal1_noqrc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417432K) : backmetal1_res has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417688K) : backmetal1_iprobe has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417688K) : backmetal1_diffprb has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417688K) : backpassiv_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417688K) : res_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417688K) : sram_drw has 1 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : trans_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : ind_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : ind_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : ind_text has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : salblock_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : via2_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : metal3_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : metal3_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : metal3_mask has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : metal3_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : metal3_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : metal3_slit has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : metal3_text has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (417944K) : metal3_opc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418200K) : metal3_noqrc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418200K) : metal3_res has 0 polygons
