25-Sep-2026 05:01:31 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 05:01:31 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 05:01:31 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-3t-thick-l45n-t0w30-nomark.gds, topcell: ARRAY_3T_thick_L45n
2026-09-25 05:01:32 +0000: Memory Usage (415012K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-3t-thick-l45n-t0w30-nomark.gds
2026-09-25 05:01:32 +0000: Memory Usage (415012K) : Ruby Version for klayout: 3.3.8
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : Loading database to memory is complete.
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-3t-thick-l45n-t0w30-nomark-main/gain-3t-thick-l45n-t0w30-nomark_ARRAY_3T_thick_L45n_main.lyrdb
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : Evaluate switches.
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : tables selected: main
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : flat mode is enabled.
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : FEOL enabled: true
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : BEOL enabled: true
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : OFFGRID enabled: true
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : PIN enabled: true
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : FORBIDDEN enabled: true
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : RECOMMENDED enabled: true
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : PreCheck DRC enabled: false
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 05:01:32 +0000: Memory Usage (416392K) : Read in polygons from layers.
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : activ_drw has 19 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : activ_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : activ_mask has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : activ_filler has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : activ_nofill has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : activ_opc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : activ_iopc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : activ_noqrc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : biwind_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : biwind_opc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : pemwind_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : gatpoly_drw has 40 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : gatpoly_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : gatpoly_filler has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : gatpoly_nofill has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : gatpoly_opc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : gatpoly_iopc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : gatpoly_noqrc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : cont_drw has 108 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : cont_opc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417672K) : nsd_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417928K) : nsd_block has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417928K) : metal1_drw has 76 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417928K) : metal1_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (417928K) : metal1_mask has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418184K) : metal1_filler has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418184K) : metal1_nofill has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418184K) : metal1_slit has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418440K) : metal1_text has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418440K) : metal1_opc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418440K) : metal1_noqrc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418696K) : metal1_res has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418696K) : metal1_iprobe has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418696K) : metal1_diffprb has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418952K) : passiv_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418952K) : passiv_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418952K) : passiv_sbump has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418952K) : passiv_pillar has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418952K) : passiv_pdl has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418952K) : metal2_drw has 17 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418952K) : metal2_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (418952K) : metal2_mask has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (419208K) : metal2_filler has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (419208K) : metal2_nofill has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (419464K) : metal2_slit has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (419464K) : metal2_text has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (419464K) : metal2_opc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (419720K) : metal2_noqrc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (419720K) : metal2_res has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (419720K) : metal2_iprobe has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (419976K) : metal2_diffprb has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (419976K) : baspoly_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (420232K) : baspoly_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (420232K) : psd_drw has 4 polygons
2026-09-25 05:01:32 +0000: Memory Usage (420232K) : nldb_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (420488K) : digibnd_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (420488K) : via1_drw has 44 polygons
2026-09-25 05:01:32 +0000: Memory Usage (420488K) : backmetal1_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (420744K) : backmetal1_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (420744K) : backmetal1_mask has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (420744K) : backmetal1_filler has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (421000K) : backmetal1_nofill has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (421000K) : backmetal1_slit has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (421000K) : backmetal1_text has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (421256K) : backmetal1_opc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (421512K) : backmetal1_noqrc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (421512K) : backmetal1_res has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (421512K) : backmetal1_iprobe has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (421512K) : backmetal1_diffprb has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (421768K) : backpassiv_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (421768K) : res_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (421768K) : sram_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (422024K) : trans_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (422024K) : ind_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (422280K) : ind_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (422280K) : ind_text has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (422280K) : salblock_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (422280K) : via2_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (422536K) : metal3_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (422536K) : metal3_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (422792K) : metal3_mask has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (422792K) : metal3_filler has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (422792K) : metal3_nofill has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423048K) : metal3_slit has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423048K) : metal3_text has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423048K) : metal3_opc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423304K) : metal3_noqrc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423304K) : metal3_res has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : metal3_iprobe has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : metal3_diffprb has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : nwell_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : nwell_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : nbulay_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : nbulay_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : nbulay_block has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : emwind_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : emwind_opc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : deepco_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : deepco_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : mim_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : edgeseal_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : edgeseal_bound has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : substrate_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : substrate_text has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : dfpad_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : dfpad_pillar has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : dfpad_sbump has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : thickgateox_drw has 2 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : pldb_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : pwell_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : pwell_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : pwell_block has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : ic_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : via3_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : metal4_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : metal4_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : metal4_mask has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : metal4_filler has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : metal4_nofill has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : metal4_slit has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423560K) : metal4_text has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423816K) : metal4_opc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423816K) : metal4_noqrc has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (423816K) : metal4_res has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (424072K) : metal4_iprobe has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (424072K) : metal4_diffprb has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (424328K) : heattrans_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (424328K) : heatres_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (424328K) : pempoly_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (424584K) : fbe_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (424584K) : empoly_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (424584K) : ldmos_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (424840K) : pbiwind_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (424840K) : digisub_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (425096K) : nodrc_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (425096K) : text_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (425096K) : via4_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (425352K) : metal5_drw has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (425352K) : metal5_pin has 0 polygons
2026-09-25 05:01:32 +0000: Memory Usage (425352K) : metal5_mask has 0 polygons
