25-Sep-2026 05:01:53 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 05:01:53 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 05:01:53 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-3t-allthick-l45n-t0w30-nomark.gds, topcell: ARRAY_3T_allthick_L45n
2026-09-25 05:01:55 +0000: Memory Usage (415728K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-3t-allthick-l45n-t0w30-nomark.gds
2026-09-25 05:01:55 +0000: Memory Usage (415728K) : Ruby Version for klayout: 3.3.8
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : Loading database to memory is complete.
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-3t-allthick-l45n-t0w30-nomark-main/gain-3t-allthick-l45n-t0w30-nomark_ARRAY_3T_allthick_L45n_main.lyrdb
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : Evaluate switches.
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : tables selected: main
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : flat mode is enabled.
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : FEOL enabled: true
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : BEOL enabled: true
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : OFFGRID enabled: true
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : PIN enabled: true
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : FORBIDDEN enabled: true
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : RECOMMENDED enabled: true
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : PreCheck DRC enabled: false
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 05:01:55 +0000: Memory Usage (416796K) : Read in polygons from layers.
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : activ_drw has 19 polygons
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : activ_pin has 0 polygons
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : activ_mask has 0 polygons
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : activ_filler has 0 polygons
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : activ_nofill has 0 polygons
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : activ_opc has 0 polygons
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : activ_iopc has 0 polygons
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : activ_noqrc has 0 polygons
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : biwind_drw has 0 polygons
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : biwind_opc has 0 polygons
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : pemwind_drw has 0 polygons
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : gatpoly_drw has 40 polygons
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : gatpoly_pin has 0 polygons
2026-09-25 05:01:55 +0000: Memory Usage (417836K) : gatpoly_filler has 0 polygons
