25-Sep-2026 04:40:14 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:40:14 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 04:40:14 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-mixed-t2-nomark.gds, topcell: ARRAY_MIXED
2026-09-25 04:40:16 +0000: Memory Usage (414864K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-mixed-t2-nomark.gds
2026-09-25 04:40:16 +0000: Memory Usage (414864K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:40:16 +0000: Memory Usage (415684K) : Loading database to memory is complete.
2026-09-25 04:40:16 +0000: Memory Usage (415684K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-mixed-t2-nomark-main/gain-mixed-t2-nomark_ARRAY_MIXED_main.lyrdb
2026-09-25 04:40:16 +0000: Memory Usage (415940K) : Evaluate switches.
2026-09-25 04:40:16 +0000: Memory Usage (415940K) : tables selected: main
2026-09-25 04:40:16 +0000: Memory Usage (415940K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:40:16 +0000: Memory Usage (415940K) : flat mode is enabled.
2026-09-25 04:40:16 +0000: Memory Usage (415940K) : FEOL enabled: true
2026-09-25 04:40:16 +0000: Memory Usage (415940K) : BEOL enabled: true
2026-09-25 04:40:16 +0000: Memory Usage (415940K) : OFFGRID enabled: true
2026-09-25 04:40:16 +0000: Memory Usage (415940K) : PIN enabled: true
2026-09-25 04:40:16 +0000: Memory Usage (415940K) : FORBIDDEN enabled: true
2026-09-25 04:40:16 +0000: Memory Usage (415940K) : RECOMMENDED enabled: true
2026-09-25 04:40:16 +0000: Memory Usage (415940K) : PreCheck DRC enabled: false
2026-09-25 04:40:16 +0000: Memory Usage (415940K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:40:16 +0000: Memory Usage (415940K) : Read in polygons from layers.
2026-09-25 04:40:16 +0000: Memory Usage (417024K) : activ_drw has 37 polygons
2026-09-25 04:40:16 +0000: Memory Usage (417024K) : activ_pin has 0 polygons
2026-09-25 04:40:16 +0000: Memory Usage (417024K) : activ_mask has 0 polygons
2026-09-25 04:40:16 +0000: Memory Usage (417024K) : activ_filler has 0 polygons
2026-09-25 04:40:16 +0000: Memory Usage (417024K) : activ_nofill has 0 polygons
