25-Sep-2026 04:37:25 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 04:37:25 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
25-Sep-2026 04:37:25 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-3t-thick-l45n-t1-nomark.gds, topcell: ARRAY_3T_thick_L45n
2026-09-25 04:37:26 +0000: Memory Usage (417144K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-3t-thick-l45n-t1-nomark.gds
2026-09-25 04:37:26 +0000: Memory Usage (417144K) : Ruby Version for klayout: 3.3.8
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : Loading database to memory is complete.
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-3t-thick-l45n-t1-nomark-main/gain-3t-thick-l45n-t1-nomark_ARRAY_3T_thick_L45n_main.lyrdb
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : Evaluate switches.
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : tables selected: main
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : flat mode is enabled.
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : FEOL enabled: true
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : BEOL enabled: true
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : OFFGRID enabled: true
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : PIN enabled: true
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : FORBIDDEN enabled: true
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : RECOMMENDED enabled: true
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : PreCheck DRC enabled: false
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 04:37:26 +0000: Memory Usage (418272K) : Read in polygons from layers.
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : activ_drw has 19 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : activ_pin has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : activ_mask has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : activ_filler has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : activ_nofill has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : activ_opc has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : activ_iopc has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : activ_noqrc has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : biwind_drw has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : biwind_opc has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : pemwind_drw has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : gatpoly_drw has 40 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : gatpoly_pin has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : gatpoly_filler has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : gatpoly_nofill has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : gatpoly_opc has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : gatpoly_iopc has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : gatpoly_noqrc has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419296K) : cont_drw has 108 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419552K) : cont_opc has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419552K) : nsd_drw has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419552K) : nsd_block has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419552K) : metal1_drw has 76 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419808K) : metal1_pin has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419808K) : metal1_mask has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419808K) : metal1_filler has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (419808K) : metal1_nofill has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420064K) : metal1_slit has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420064K) : metal1_text has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420064K) : metal1_opc has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420320K) : metal1_noqrc has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420320K) : metal1_res has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420320K) : metal1_iprobe has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420576K) : metal1_diffprb has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420576K) : passiv_drw has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420576K) : passiv_pin has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420576K) : passiv_sbump has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420576K) : passiv_pillar has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420832K) : passiv_pdl has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420832K) : metal2_drw has 17 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420832K) : metal2_pin has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420832K) : metal2_mask has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (420832K) : metal2_filler has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (421088K) : metal2_nofill has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (421088K) : metal2_slit has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (421088K) : metal2_text has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (421344K) : metal2_opc has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (421344K) : metal2_noqrc has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (421344K) : metal2_res has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (421600K) : metal2_iprobe has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (421600K) : metal2_diffprb has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (421600K) : baspoly_drw has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (421856K) : baspoly_pin has 0 polygons
2026-09-25 04:37:26 +0000: Memory Usage (421856K) : psd_drw has 4 polygons
