25-Sep-2026 05:07:40 | INFO    | KLayout version detected: 0.30.0
25-Sep-2026 05:07:40 | INFO    | Using DRC JSON file: /pdk/libs.tech/klayout/tech/drc/tech_mod_relaxed.json
25-Sep-2026 05:07:40 | INFO    | Running IHP-SG13G2 main checks on design /work/gain-3t-thick-l45n-t2-relaxeddeck.gds, topcell: ARRAY_3T_thick_L45n
2026-09-25 05:07:42 +0000: Memory Usage (416896K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/gain-3t-thick-l45n-t2-relaxeddeck.gds
2026-09-25 05:07:42 +0000: Memory Usage (416896K) : Ruby Version for klayout: 3.3.8
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : Loading database to memory is complete.
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : IHP-SG13G2 KLayout DRC runset output at: /work/gain-3t-thick-l45n-t2-relaxeddeck-main/gain-3t-thick-l45n-t2-relaxeddeck_ARRAY_3T_thick_L45n_main.lyrdb
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : Evaluate switches.
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : tables selected: main
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : flat mode is enabled.
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : FEOL enabled: true
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : BEOL enabled: true
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : OFFGRID enabled: true
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : PIN enabled: true
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : FORBIDDEN enabled: true
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : RECOMMENDED enabled: true
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : PreCheck DRC enabled: false
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 05:07:42 +0000: Memory Usage (417980K) : Read in polygons from layers.
2026-09-25 05:07:42 +0000: Memory Usage (419260K) : activ_drw has 19 polygons
2026-09-25 05:07:42 +0000: Memory Usage (419260K) : activ_pin has 0 polygons
2026-09-25 05:07:42 +0000: Memory Usage (419260K) : activ_mask has 0 polygons
2026-09-25 05:07:42 +0000: Memory Usage (419260K) : activ_filler has 0 polygons
2026-09-25 05:07:42 +0000: Memory Usage (419260K) : activ_nofill has 0 polygons
2026-09-25 05:07:42 +0000: Memory Usage (419260K) : activ_opc has 0 polygons
2026-09-25 05:07:42 +0000: Memory Usage (419260K) : activ_iopc has 0 polygons
2026-09-25 05:07:42 +0000: Memory Usage (419260K) : activ_noqrc has 0 polygons
2026-09-25 05:07:42 +0000: Memory Usage (419260K) : biwind_drw has 0 polygons
